"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bda99b5f-6556-4153-931b-a9390a593d41","","checklist-flat","","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"254deede-27c9-4d85-8fba-2b10b0313d4c","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA"
"521814ac-9edf-45fa-b5f9-018682f55efd","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Double Tees"
"ede786b5-499a-47c1-94d1-39e4e0bfe4fd","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Ribs"
"918b6a6b-981a-4036-b599-9c772794a172","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Flat Slabs"
