"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d62ed91e-dd29-4d01-b2cd-a85799613ef6","","checklist-flat","","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"0585507b-55e8-4ac3-9cb6-6aa7aa627982","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA"
"fbfbd334-c97e-4197-aa85-e6a043b9b476","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Double Tees"
"54c049d7-88f2-48d4-b591-77f32b82816c","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Ribs"
"555fdb14-2956-43e1-84b2-6316818b481a","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Flat Slabs"
