"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"16107da7-7931-41d6-a951-cb56d7725bda","","checklist-flat","","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"aba96f12-8ff4-4201-b7e6-800d61959865","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA"
"5e35f090-74fd-45b1-ab9e-9c433eeb3d65","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Double Tees"
"43412486-afb8-4d34-9e30-78391ebd74bf","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Ribs"
"b0143b73-82d8-4f2d-b716-d2f791ce2d1f","","checklist-sectioned","","QA - Stahlton Quality Checksheet","checklist","FALSE","FALSE","Manufacturing QA","Ribs","1013_R200_4.8.23"
"c293791b-37c2-40f9-817a-8ffacd55e220","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Flat Slabs"
