"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"38ce7fe6-30cf-4d12-b699-45ea3e786d1e","","checklist-flat","","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"943505c8-e88d-492a-8b44-d9383e16a06b","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA"
"25e56896-5aa2-433d-b11e-39da08ad5f14","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Double Tees"
"036a8342-ae47-4e9f-9aae-316d311cd10b","","checklist-sectioned","","QA - Stahlton Quality Checksheet","checklist","FALSE","FALSE","Manufacturing QA","Double Tees","1015_450 DT_11/8/23"
"916804f8-bfac-44d4-883e-11d4a84e5afd","","checklist-sectioned","","QA - Stahlton Quality Checksheet","checklist","FALSE","FALSE","Manufacturing QA","Double Tees","1015_300DT_18/08/23"
"5fbbbc36-b3c0-408a-88b0-cf045d976a34","","checklist-sectioned","","QA - Stahlton Quality Checksheet","checklist","FALSE","FALSE","Manufacturing QA","Double Tees","1015_300DT_22/8/23"
"ef249c05-7ae5-4165-92b1-c91a534eaad3","","checklist-sectioned","","QA - Stahlton Quality Checksheet","checklist","FALSE","FALSE","Manufacturing QA","Double Tees","1015_300DT_24.08.23"
"03ef0ca4-2490-4185-93ec-694e7b0b59e8","","checklist-sectioned","","QA - Stahlton Quality Checksheet","checklist","FALSE","FALSE","Manufacturing QA","Double Tees","1015_300DT_28/08/23"
"d43b3783-629a-4473-84f4-7b9a8e811a18","","checklist-sectioned","","QA - Stahlton Quality Checksheet","checklist","FALSE","FALSE","Manufacturing QA","Double Tees","1015_400DT_1/9/23"
"f5249e58-1d16-4007-8e43-02a0578ca75e","","checklist-sectioned","","QA - Stahlton Quality Checksheet","checklist","FALSE","FALSE","Manufacturing QA","Double Tees","1015_400DT_4/9/23"
"dd00c64e-a39a-402c-b88a-614a023a615a","","checklist-sectioned","","QA - Stahlton Quality Checksheet","checklist","FALSE","FALSE","Manufacturing QA","Double Tees","1015_400DT_6/7/23"
"aa888c8c-35d6-4534-bf13-e5040658f49a","","checklist-sectioned","","QA - Stahlton Quality Checksheet","checklist","FALSE","FALSE","Manufacturing QA","Double Tees","1015_450DT_8/9/23"
"535d1d6e-2165-4a64-b734-697b9b5e364d","","checklist-sectioned","","QA - Stahlton Quality Checksheet","checklist","FALSE","FALSE","Manufacturing QA","Double Tees","1015_460DT_12/9/23"
"51a3b74a-ba1b-4d0c-8c4d-35fcb5894fe9","","checklist-sectioned","","QA - Stahlton Quality Checksheet","checklist","FALSE","FALSE","Manufacturing QA","Double Tees","1015_450DT_13/09/23"
"164f9fb4-7882-4f62-b136-74deefd626d8","","checklist-sectioned","","QA - Stahlton Quality Checksheet","checklist","FALSE","FALSE","Manufacturing QA","Double Tees","1015_450DT_14/9/23"
"2c8781a2-a33a-43f0-a4e2-805a1141b871","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Ribs"
"f8acfcb2-aaa9-418f-8d97-cb4538700758","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Flat Slabs"
