"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e99e8571-bc99-4323-b9b9-ad125390f919","","checklist-flat","","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"39f1c2c4-2170-4d1f-bb89-ece8718f1ddd","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA"
"2d75f5f7-8a54-4598-8fb5-d74cd952053e","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Double Tees"
"ffaffadb-c680-44e5-8a62-5c55f873b7c5","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Ribs"
"7776b035-055f-44c8-8865-65401a321ad2","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Flat Slabs"
