"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"21495cef-2454-4c9b-b05b-6bd320bec5ed","","checklist-flat","","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"52569ee8-447d-4825-9979-b2e70d4ffee4","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA"
"e12a84f1-3814-4a25-96ec-9b7d7576f6b3","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Double Tees"
"b9cbdc4b-3876-48fd-a593-9a32d4b4ee22","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Ribs"
"df70f7f4-c76c-485a-99eb-d8646b798213","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Flat Slabs"
