"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b258699c-fc9c-4f0a-9420-7093dfcbefa0","","checklist-flat","","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"955e9bc1-252a-401c-8259-7df5caaab549","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA"
"4391f29e-edbc-4113-b55b-3c7e1c1f13ea","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Double Tees"
"368f06d8-16a6-4b26-945d-fd046b0821b5","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Ribs"
"cafe67e3-c9d7-46fb-917c-e53258e4f42a","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Flat Slabs"
