"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"14cff37e-3b4b-4170-a68b-d0e0fac5cfb6","","checklist-flat","","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"4d2b900a-3fca-47f7-aabe-70b614ad15ca","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA"
"7af0176f-713e-401d-ad48-6efd53f017f4","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Double Tees"
"bf00b1cd-ac98-431b-99fb-2ecaf0a13bea","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Ribs"
"ec031812-af01-4381-8ff8-aa438b20d9ba","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Flat Slabs"
