"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a24f3eb7-86e1-4883-99ae-fbd4b5367bee","","checklist-flat","","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"dbbf0792-09f7-483f-93a9-aa6844e371e4","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA"
"1131eb66-7930-41f8-9412-48fa48f5efb7","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Double Tees"
"b27e96af-9eb6-4607-8b8b-726b418d52f8","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Ribs"
"6deccd48-0932-462a-96bf-60307d845b4b","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Flat Slabs"
