"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6c15b01f-b96d-4ec4-a30c-3089495d9994","","checklist-flat","","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"fc8734a0-7a90-49eb-97e0-962b66c8f364","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA"
"296d0665-7719-45a6-9f89-d1c20c77bb96","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Double Tees"
"e1ce90e6-bb8a-4c2e-90ab-f79edeb4a226","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Ribs"
"ef7dc7a9-4591-48b0-b8ab-c0785399ef22","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Flat Slabs"
