"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2ecf7c7b-5e27-4b51-ad73-56d919c9f4f5","","checklist-flat","","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"667eee0b-d9be-49d4-8750-99a6fb938419","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA"
"2c1c92b7-517d-48ba-99e3-213d5a8f3765","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Double Tees"
"65464f73-9859-498e-b84f-767a40eb05af","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Ribs"
"21a04ace-87f8-459c-be97-60ad97cd7f7f","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Flat Slabs"
