"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2a7366f9-10a6-4b8b-92bb-73aee50aa365","","checklist-flat","","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"30ecd0fd-e422-470f-9a2d-1d7b86167c5b","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA"
"3dd6b739-712f-40a7-8db7-a4c46b937440","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Double Tees"
"4f50517a-aa78-4129-8058-b6d096e6b2f9","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Ribs"
"724b4ee3-16b3-4e35-a317-a76ed8281066","","checklist-sectioned","","QA - Stahlton Quality Checksheet","checklist","FALSE","FALSE","Manufacturing QA","Ribs","1009 Kingsway - R150"
"f83ce288-e306-4ab4-adaf-8a92baa86505","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Flat Slabs"
