resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,step,,,Building Services,,,,,,,,
,,,,step,,,,Building Services by Area,,,,,,,
,,,,step,,,,,SP2A - Level 2 Lounge & Fire Egress Stairs,,,,,,
,,,,step,,,,,,BHS Works,,,,,
Demolition Checklist,,,,checklist,,,,,,,Demolition,,,,
Cable Tray Checklist,,,,checklist,,,,,,,Cable Tray,,,,
First Fix Checklist,,,,checklist,,,,,,,First Fix,,,,
Second Fix Checklist,,,,checklist,,,,,,,Second Fix,,,,
Commissioning and Testing Checklist,,,,checklist,,,,,,,Commissioning and Testing,,,,
Distribution board Checklist,,,,checklist,,,,,,,Distribution Board - PCEAST-A1-DB-0F-01,,,,
,,,,step,,,,,,Fire Stairs,,,,,
Demolition Checklist,,,,checklist,,,,,,,Demolition,,,,
First Fix Checklist,,,,checklist,,,,,,,First Fix,,,,
Second Fix Checklist,,,,checklist,,,,,,,Second Fix,,,,
Commissioning and Testing Checklist,,,,checklist,,,,,,,Commissioning and Testing,,,,
,,,,step,,,,,,Monkey Toe Walkway,,,,,
First Fix Checklist,,,,checklist,,,,,,,First Fix,,,,
Second Fix Checklist,,,,checklist,,,,,,,Second Fix,,,,
Commissioning and Testing Checklist,,,,checklist,,,,,,,Commissioning and Testing,,,,
,,,,step,,,,,,Level 2 Walkway,,,,,
First Fix Checklist,,,,checklist,,,,,,,First Fix,,,,
Second Fix Checklist,,,,checklist,,,,,,,Second Fix,,,,
Commissioning and Testing Checklist,,,,checklist,,,,,,,Commissioning and Testing,,,,
,,,,step,,,,,SP2A - EBH South ,,,,,,
,,,,step,,,,,,Earthing,,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,EF,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,EG,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,EH,,,,
Ducting Checklist,,,,checklist,,,,,,,Ducting (1),,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid 35-EF,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid 35-EG,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid 35-EH,,,,
Ducting Checklist,,,,checklist,,,,,,,Ducting (2),,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E1-ED,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E1-EE,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E1-EF,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E1-EG,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E1-EH,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E2-ED,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E2-EE,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E2-EF,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E2-EG,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E2-EH,,,,
Ducting Checklist,,,,checklist,,,,,,,Ducting (3),,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E3-ED,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E3-EE,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E3-EF,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E3-EG,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E3-EH,,,,
Ducting Checklist,,,,checklist,,,,,,,Ducting (4),,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E4-ED,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E4-EE,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E4-EF,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E4-EG,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E4-EH,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E5-ED,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E5-EE,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E5-EF,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E5-EG,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 1,,folder-with-checklists,,,,,,,Grid E5-EH,,,,
,,,,step,,,,,SP3 - PC69,,,,,,
,,,,step,,,,,,Earthing,,,,,
Photos Checklist,Test Sheets Checklist,Earth Pit Checklist 2,Earth Rods Checklist,folder-with-checklists,,,,,,,Grading Ring,,,,
Photos Checklist,Test Sheets Checklist,,,folder-with-checklists,,,,,,,Trench Slab,,,,
Photos Checklist,Test Sheets Checklist,,,folder-with-checklists,,,,,,,Floor Slab,,,,
Photos Checklist,Test Sheets Checklist,,,folder-with-checklists,,,,,,,Bonding (PC69 Internal),,,,
Photos Checklist,Test Sheets Checklist,,,folder-with-checklists,,,,,,,Bonding (PC69 External),,,,
,,,,step,,,,,,Lightning Protection,,,,,
Photos Checklist,Test Sheets Checklist,,,folder-with-checklists,,,,,,,Air Terminals and Copper Tape,,,,
Photos Checklist,Test Sheets Checklist,,,folder-with-checklists,,,,,,,Down Conductor,,,,
First Fix Checklist,Second Fix Checklist,Cable Tray Checklist,,folder-with-checklists,,,,,,PC69 Bus A Room,,,,,
First Fix Checklist,Second Fix Checklist,Cable Tray Checklist,,folder-with-checklists,,,,,,PC69 Bus B Room,,,,,
,,,,step,,,,,,Electrical Room,,,,,
First Fix Checklist,,,,checklist,,,,,,,First Fix,,,,
Second Fix Checklist,,,,checklist,,,,,,,Second Fix,,,,
Cable Tray Checklist,,,,checklist,,,,,,,Cable Tray,,,,
Distribution board Checklist,,,,checklist,,,,,,,Distribution Board - PC10-DB-0F-01,,,,
First Fix Checklist,Second Fix Checklist,,,folder-with-checklists,,,,,,Gas Surpression Room,,,,,
First Fix Checklist,Second Fix Checklist,,,folder-with-checklists,,,,,,Fan & Filter Room,,,,,
First Fix Checklist,Second Fix Checklist,Cable Tray Checklist,,folder-with-checklists,,,,,,Comms Room,,,,,
Commissioning and Testing Checklist,,,,checklist,,,,,,Commissionning and Testing,,,,,
,,,,,,,,,,,,,,,
