"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,,"existing"
,"Rows"
,,"Ground","dynamic","existing","ground"
,,"Level 1","dynamic","level 1","existing"
,,"Level 2","dynamic","existing","level 2"
,"Columns"
,,"Penetrations",,"penetrations"
,,"Inground Works",,"inground works"
,,"Drains",,"drains"
,,"Rough In",,"rough in"
,,"Corridor",,"corridor"
,,"Fit Off",,"fit off"
,,"Commisioning",,"commisioning"
,,"Plant and Equipment",,"plant and equipment"

