"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d9b0419d-6836-476d-9ae9-129aa7141d1a","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.05"
"5693ca4d-dfb4-4ce2-895b-181c8305bca0","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.06"
"23e54491-139b-40e2-bdc5-0354b48b51e9","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.07"
"def875b5-bf99-46f4-a04a-73a7ca476fe8","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.08"
"ba313b32-259f-444b-829c-e88362786925","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.09"
"3179b033-664a-4e60-a346-6c1e4833b7c7","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.10"
"f6b26d48-82ae-405f-b7cb-d0edfb3d0624","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.11"
"a4567f6e-fde4-4f9d-a2cf-1b74ee136f16","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.12"
"0c0f83ec-6da0-4559-bb29-de6e93d0abb0","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.13"
"a162749e-fece-4ffa-9575-a725bfbeb7c6","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.14"
"f670219e-5496-447b-9e27-5adc4daf976f","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.15"
"d4b9231a-cac2-4a92-a260-f79b870440e6","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.16"
"bc5403ac-049f-4d34-8f76-a6fce4661824","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.17"
"4490a95f-6796-4163-9a29-6f915b0afdfe","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.18"
"7d1cd0c5-126c-4a75-9897-6209ce3520f6","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.19"
"aa114994-48a3-4ae2-9fcd-103ad0dada17","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.20"
"63a1b6ee-43c2-49ac-b418-5955634649e4","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.21"
"6421d9db-966d-46a6-8de4-e8fc535319a8","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.22"
"141c3bbc-021e-456b-b7cb-04a2de1c7ccd","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.23"
"2528c57b-10d3-46d4-9be4-81c0e70fad9f","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.24"
"4f3cd00c-3824-419d-a812-12ef0da56de0","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.25"
"d4901d4d-3307-43c8-af7e-39a1324c2805","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.26"
"3d6317d5-bda9-4d99-b93c-db77bb037bc5","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.27"
"38ffd8b7-587c-410b-8a84-a0b8d9cf8cae","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.28"
"4107ef00-fc35-4953-9983-5b20d4b16e4b","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.29"
"22721526-ed3c-4d65-bdac-724f21a86b9d","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.30"
"41529d67-ed3b-45d2-b836-9fdd14c5f695","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 3","3.31"
"e39b8ef7-a340-4613-9c00-7e366ef7bc3b","","not-started","","folder","TRUE","FALSE","Site QA","Drains.","Novotel","Level 4"
"f8a52e5e-a5eb-4efd-b475-65126ba1ff08","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.01"
"5be8a544-b888-4ce6-956d-bf8598129a26","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.02"
