resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4
,folder-normal,TRUE,FALSE,Job Sheet ,,,
,folder-normal,TRUE,FALSE,Site QA,,,
,folder-normal,TRUE,FALSE,TA Observations,,,
,folder-normal,TRUE,FALSE,Variations,,,
