"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b7fff5cd-2ee9-4b2e-aae4-ce5752ec2040","","work-in-progress","","folder","TRUE","FALSE","Level 1"
"6a431a74-790a-4d5b-809a-4edccc54f587","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 1","- W1.5"
"7b43f37a-54a8-47ba-b822-9aac2c287901","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 1","- W1.4"
"06b84128-23b1-4216-8c0e-38ea9d7c3909","","work-in-progress","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 1","- W1.03"
"b5250c0b-39d5-4df0-86a1-6f7bc38db33f","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 1","- W1.22"
"8992f488-8192-425f-af7d-a0da398cfc97","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 1","- W1.SD"
"66536708-1b82-4b41-aa3d-1e8e95611dc0","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 1","- W1.17"
"8ec497f6-1a04-454b-b316-2ab31016872d","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 1","- W1.12"
"c426185a-9914-40ab-9013-d5af39303e6b","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 1","- W1.SD"
"a7da6ccb-9ff1-48f4-83dd-6a274ca0585d","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 1","- W1.DV"
"028dd4fe-e196-4e71-a3d2-d631d74eb66f","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 1","- W1.29"
"81f4f423-827b-4143-a69c-15ce0507a082","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 1","- W1.27"
"538442f8-9863-4492-b728-a58b46ce7f7c","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 1","- W1.26"
"e72b418b-4415-49f7-9768-d19683bab4ae","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 1","- W1.25"
"315dea20-755d-432c-beeb-91a07d001886","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 1","- W1.24"
"8cb64166-a901-46de-a284-ff24701883e2","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 1","-W1.15"
"45eabe14-7433-4058-88b7-98c39ed0aaf1","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 1","- W1.18"
"347d240d-3f6a-450e-8d05-49a31b178d71","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 1","- W1.11"
"5c4bbf2e-f068-4ae5-ab79-4df72bd889e9","","work-in-progress","","folder","TRUE","FALSE","level 2"
"0fa31a09-2f41-4a16-877d-7dd92c61e963","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.27"
"98b8e1d9-42a8-457d-ab61-abc3e8787735","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.26"
"55c38ac9-09d7-43af-9891-88f4b391a611","","not-started","QA - Balustrades","checklist","FALSE","FALSE","level 2","-W2.25"
"b2d0cec6-5d67-4c86-afb9-75dbb6f8fada","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.24"
"24c21e2a-2d46-4cbf-938e-59a096c6c337","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.23"
"795fea37-0927-4601-ad56-73c3f58997d3","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","-W2.28"
"e0ee05d4-e232-4a3d-aeac-0a465b8d341a","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.29"
"c0c882da-b75d-48b9-b0a8-933119433e7f","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.31"
"251ddb6a-6759-4104-b100-1f25fcb18157","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.32"
"57ef58f3-fea9-4b31-99c7-7147a3ebefec","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.33"
"99598954-57b4-470b-9b33-7d4d47d83872","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.34"
"a88743bb-cdc8-48bd-b759-94e9ffa5a88a","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.35"
"50aca00a-1bf6-41ef-9412-4137448fb426","","not-started","QA - Balustrades","checklist","FALSE","FALSE","level 2","-W2.37"
"74ca91b6-5cc4-4e4f-ac5d-b8cef6fef5d2","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.38"
"16abc590-130a-4583-bd32-a7a2b196510c","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.1"
"cea5a139-ce59-4fe2-8c75-47ecc495a4ec","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.2"
"a3a04c94-8b47-4dc1-8cc2-6014143254f2","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.3"
"85670f0c-bc86-411a-8e45-8f963375c8ee","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.4"
"e6166985-a854-476f-8110-11aa918488ba","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.8"
