type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Enviro 200P Secondary,,,,,,Enviro 200P Secondary
checkpoint,Relevant Australian Standards Checked,,,,,,
label,"Specification / Standard: AS3740 - 2010, Manufacturer’s Technical Data Sheet",,,,,,
checkpoint,Check Screed (moisture test if required).,,,,,,
label,Attach Photo,,,,,,
checkpoint,Apply Primer. Enviro Shield or Enviro Prime WB.,,,,,,
label,Visual,,,,,,
checkpoint,Apply first coat of Enviro 200P with a brush or roller.,,,,,,
label,Visual,,,,,,
checkpoint,Apply first coat of Enviro 200P with a brush or roller. Achieve 0.8mm WFT and 1.0mm DFT.,,,,,,
label,Attach Photo of WFT reading. Enter WFT reading on comment section.,,,,,,
checkpoint,Final Inspection and Sign-off. Visually inspect and ensure adequately cured - DO NOT PASS UNTIL HOLDPOINT COMPLETE BELOW,,,,,,
holdpoint,HOLD POINT - CLICK HERE TO REQUEST BUILDER SIGN OFF,,,,,,
