ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Hawkins: Building North - Facade"
,"Scope",,
,"Rows"
,,"North Building","grouping","building b201 north","facade","envelope"
,,"Level 3",,"facade","envelope","building b201 north","level 3"
,,"Level 4",,"level 4","facade","envelope","building b201 north"
,,"Level 5",,"level 5","facade","envelope","building b201 north"
,,"Level 6",,"facade","envelope","level 6","building b201 north"
,,"Level 7",,"facade","envelope","level 7","building b201 north"
,,"Level 8",,"facade","envelope","level 8","building b201 north"
,"Columns"
,,"North Elevation",,"north elevation"
,,"East Elevation",,"east elevation"
,,"West Elevation",,"west elevation"
,,"South Elevation",,"south elevation"

"Hawkins: Building North - Fitout"
,"Scope",,
,"Rows"
,,"Level 2 Lobby","grouping","fitout","level 2","lobby"
,,"201-200l9","expanded","fitout","lobby","201-200l9","level 2"
,,"201-200l8","expanded","fitout","lobby","201-200l8","level 2"
,,"201-200l7","expanded","fitout","lobby","201-200l7","level 2"
,,"Level 2 Pool Teaching","grouping","fitout","pool teaching","level 2"
,,"201-265","expanded","201-265","fitout","pool teaching","level 2"
,,"Level 2 Plant Room","grouping","fitout","plant room","level 2"
,,"201-270","expanded","fitout","plant room","201-270","level 2"
,,"Level 2 Stair","grouping","fitout","level 2","stair"
,,"201-200s6","expanded","fitout","stair","201-200s6","level 2"
,,"Level 3 Riser","grouping","fitout","riser","level 3"
,,"201-360","expanded","fitout","201-360","riser","level 3"
,,"201-378","expanded","fitout","201-378","riser","level 3"
,,"Level 3 CALS","grouping","fitout","cals","level 3"
,,"201-365","expanded","fitout","cals","level 3","201-365"
,,"201-367","expanded","fitout","cals","201-367","level 3"
,,"201-375","expanded","201-375","fitout","cals","level 3"
,,"Level 3 Breakout","grouping","fitout","breakout","level 3"
,,"201-370","expanded","fitout","breakout","201-370","level 3"
,,"Level 3 Virtual Learning","grouping","virtual learning","fitout","level 3"
,,"201-377","expanded","virtual learning","fitout","201-377","level 3"
,,"Level 3 Stair","grouping","fitout","stair","level 3"
,,"201-300s6","expanded","fitout","201-300s6","stair","level 3"
,,"Level 3 Commms","grouping","fitout","commms","level 3"
,,"201-390","expanded","fitout","commms","201-390","level 3"
,,"Level 3 Lobby","grouping","fitout","lobby","level 3"
,,"201-300l7","expanded","fitout","201-300l7","lobby","level 3"
,,"Level 4 Lobby","grouping","level 4","fitout","lobby"
,,"201-400l6","expanded","level 4","201-400l6","fitout","lobby"
,,"201-400l7","expanded","level 4","fitout","201-400l7","lobby"
,,"201-479b","expanded","level 4","fitout","lobby","201-479b"
,,"201-479","expanded","level 4","fitout","lobby","201-479"
,,"Level 4 Riser","grouping","level 4","fitout","riser"
,,"201-460","expanded","level 4","fitout","201-460","riser"
,,"201-496b","expanded","level 4","fitout","riser","201-496b"
,,"201-478","expanded","level 4","fitout","201-478","riser"
,,"Level 4 Materials Workshop","grouping","level 4","fitout","materials workshop"
,,"201-463","expanded","level 4","201-463","fitout","materials workshop"
,,"Level 4 Store","grouping","level 4","fitout","store"
,,"201-467","expanded","level 4","fitout","store","201-467"
,,"201-473d","expanded","level 4","fitout","store","201-473d"
,,"201-473c","expanded","level 4","201-473c","fitout","store"
,,"201-473a","expanded","level 4","fitout","store","201-473a"
,,"201-475","expanded","level 4","fitout","store","201-475"
,,"Level 4 Visual Arts & Technology Teaching","grouping","level 4","fitout","visual arts & technology teaching"
,,"201-465","expanded","level 4","fitout","visual arts & technology teaching","201-465"
,,"Level 4 AV C/BD","grouping","level 4","fitout","av c/bd"
,,"201-496a","expanded","level 4","fitout","av c/bd","201-496a"
,,"Level 4 SCI HUB","grouping","level 4","fitout","sci hub"
,,"201-471","expanded","level 4","fitout","sci hub","201-471"
,,"201-477","expanded","level 4","fitout","sci hub","201-477"
,,"Level 4 Office","grouping","level 4","fitout","office"
,,"201-473b","expanded","level 4","fitout","201-473b","office"
,,"201-473","expanded","level 4","fitout","201-473","office"
