"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4134de46-be58-4c5d-a856-ba82f3c74bab","","work-in-progress","","folder","FALSE","FALSE","June 2025"
"6967306d-9be8-4684-90ab-69204414900f","","work-in-progress","","folder","FALSE","FALSE","June 2025","23 June"
"35bc6971-4c02-442f-99a9-d5545fd8f3d0","","work-in-progress","","folder","TRUE","FALSE","June 2025","23 June","Prepour"
"9da5e83d-0a38-43e8-afc8-ee1066279096","","not-started","ae685de7289b377bffea1f1915afda4c107b925cb3dcc94063564b14ac4f84b9","checklist","FALSE","FALSE","June 2025","23 June","Prepour","Cage:100"
"ac3f0b88-d645-459d-83f8-cf7c70e5a98a","","not-started","e3b7ac258f5d06fb512c0eba4072694953b31a9afdabd8dbea55a18c719d912d","checklist","FALSE","FALSE","June 2025","23 June","Prepour","12.5/16 P/COR - Cage:1"
"80f07449-804d-4c48-9665-d11f8066c177","","pass","ae685de7289b377bffea1f1915afda4c107b925cb3dcc94063564b14ac4f84b9","checklist","FALSE","FALSE","June 2025","23 June","Prepour","Cage:638"
"cdc997f0-1a25-49ee-b26c-38f1b92a5c59","","not-started","cd7247eb5884ab4a2fc23a55ef0366464fd00dad769341531a23af2812e00cb7","checklist","FALSE","FALSE","June 2025","23 June","Prepour","12.5/16 SPAN N/S - Cage:"
"9c204e38-0ad4-4060-b8f1-7567f9a3f71f","","work-in-progress","","folder","TRUE","FALSE","June 2025","23 June","Postpour"
"1f6ac459-b1c3-4ff6-85e5-1618d3e0a323","","work-in-progress","4af013894ed977f3a7fa77a9e51d98b4e698c4329a22e663f4eb4e5b3ba32d41","checklist","FALSE","FALSE","June 2025","23 June","Postpour","Product Number:200 11/16 Span"
"33f57f17-cc82-4de9-b687-4e4388e7ef53","","no-status-not-started","","folder","FALSE","FALSE","June 2025","24 June"
"9bf90aef-f685-4b44-a66f-536801272ab0","","no-status-not-started","","folder","TRUE","FALSE","June 2025","24 June","Prepour"
"7d742b9f-06c1-4024-9507-22f957840349","","no-status-not-started","","folder","TRUE","FALSE","June 2025","24 June","Postpour"
"859323f0-7ab0-413b-9c22-3594aaf4e433","","no-status-not-started","","folder","FALSE","FALSE","June 2025","25 June"
"4fe6004e-2075-4a02-9b18-045046b148cf","","no-status-not-started","","folder","TRUE","FALSE","June 2025","25 June","Prepour"
"010d776a-bea8-41a2-94d6-bc76ef2cdadf","","no-status-not-started","","folder","TRUE","FALSE","June 2025","25 June","Postpour"
"6d39ba0f-c520-4d7b-b91b-ac784c1e2b61","","no-status-not-started","","folder","FALSE","FALSE","June 2025","26 June"
"ea9c8c9b-b395-4ba1-bb22-6eb65c35babf","","no-status-not-started","","folder","TRUE","FALSE","June 2025","26 June","Prepour"
"d466ca3f-ac2c-4546-877f-62fce90fd78e","","no-status-not-started","","folder","TRUE","FALSE","June 2025","26 June","Postpour"
"4621f470-e05c-44d0-9074-4eba45eda34e","","not-started","","folder","FALSE","FALSE","June 2025","27 June"
"991fed81-1e61-42e0-b008-cd4f15e444f6","","not-started","","folder","TRUE","FALSE","June 2025","27 June","Prepour"
"22297601-acc8-4c82-a218-950084fb7a4f","","not-started","1. Prepour (11/16 PCOR)","checklist","FALSE","FALSE","June 2025","27 June","Prepour","11/16 P/COR - Cage:"
"ba21fcb1-94e2-41ed-86e4-42c7be29706a","","no-status-not-started","","folder","TRUE","FALSE","June 2025","27 June","Postpour"
"ff231af9-751d-4dc8-9392-c1a1be697c9f","","no-status-not-started","","folder","FALSE","FALSE","June 2025","28 June"
"d7b921f0-9606-40ed-b3e0-1fb25617f033","","no-status-not-started","","folder","TRUE","FALSE","June 2025","28 June","Prepour"
"957c5856-4021-49a3-b079-ab3789ab6219","","no-status-not-started","","folder","TRUE","FALSE","June 2025","28 June","Postpour"
"854e6ae3-c949-4953-98e1-3bd0113dd342","","no-status-not-started","","folder","FALSE","FALSE","June 2025","29 June"
"f80ff6fa-d991-44be-b0ff-4310db0e6d28","","no-status-not-started","","folder","TRUE","FALSE","June 2025","29 June","Prepour"
"aba4f0f6-c3ea-48b6-bdc4-6398fdc666a8","","no-status-not-started","","folder","TRUE","FALSE","June 2025","29 June","Postpour"
"7df3bef5-c413-4207-ab9a-383fc2286922","","no-status-not-started","","folder","FALSE","FALSE","June 2025","30 June"
"90ff9da0-bfa0-4fc6-9eab-cb1dabcaa8d4","","no-status-not-started","","folder","TRUE","FALSE","June 2025","30 June","Prepour"
"8d8adcee-f9a5-44fa-be8a-15b34f526abf","","no-status-not-started","","folder","TRUE","FALSE","June 2025","30 June","Postpour"
"746a9641-ca36-4873-b095-feceb8804c74","","fail","","folder","FALSE","FALSE","July 2025"
"81ea5f89-b86a-4252-b2b4-11ea0c126be5","","no-status-not-started","","folder","FALSE","FALSE","July 2025","1 July"
"40d5e7ad-858a-4ccc-9945-f4baa69a571b","","no-status-not-started","","folder","TRUE","FALSE","July 2025","1 July","Prepour"
"9e702f31-c2af-4b2e-8885-87f18917b556","","no-status-not-started","","folder","TRUE","FALSE","July 2025","1 July","Postpour"
"4283f343-c5ee-4ff8-a1ce-56d3aa9eac02","","fail","","folder","FALSE","FALSE","July 2025","2 July"
"f4c05d1e-ae25-415f-ab37-73eed738f6ef","","fail","","folder","TRUE","FALSE","July 2025","2 July","Prepour"
"a0e1d6a1-90b0-4e82-8206-90aea58d1b79","","not-started","1. Prepour (Secondary and Primary cage inspections): Fitting Layout 3246","checklist","FALSE","FALSE","July 2025","2 July","Prepour","11/16 P/COR - Cage:"
"39b48492-9d0c-4dcb-8e41-f50c3c7742fb","","fail","1. Prepour (Secondary and Primary cage inspections): Fitting Layout 5595","checklist","FALSE","FALSE","July 2025","2 July","Prepour","12.5/16 SPAN N/S - Cage:763"
"211ace7a-88d8-41d8-9b5d-12ecf03de3e8","","no-status-not-started","","folder","TRUE","FALSE","July 2025","2 July","Postpour"
"cc1d054d-88ae-42aa-8f6e-9d26aa3009b8","","no-status-not-started","","folder","FALSE","FALSE","July 2025","3 July"
"a760f343-26bc-484b-81f8-4b4760cf2bbf","","no-status-not-started","","folder","TRUE","FALSE","July 2025","3 July","Prepour"
"6132290e-ed3c-4512-87aa-6e1587b29b21","","no-status-not-started","","folder","TRUE","FALSE","July 2025","3 July","Postpour"
"a6cd8ccf-b7b0-417a-afde-325a85d9c435","","no-status-not-started","","folder","FALSE","FALSE","July 2025","4 July"
"c557acab-8f8b-4fd3-9b7b-600483237eef","","no-status-not-started","","folder","TRUE","FALSE","July 2025","4 July","Prepour"
"4d5b98dc-6486-4139-b1a1-3b3fd20fc743","","no-status-not-started","","folder","TRUE","FALSE","July 2025","4 July","Postpour"
"4d9059ec-8449-4f0a-8c6e-bf0a9b3c1057","","no-status-not-started","","folder","FALSE","FALSE","July 2025","5 July"
"80c163e1-ae42-49b5-be18-82dedce53ab4","","no-status-not-started","","folder","TRUE","FALSE","July 2025","5 July","Prepour"
"b1fe4074-c0a9-4e94-bf6b-0de05de42108","","no-status-not-started","","folder","TRUE","FALSE","July 2025","5 July","Postpour"
"2cc233bf-f814-40f6-8684-d830e9edcf2a","","no-status-not-started","","folder","FALSE","FALSE","July 2025","6 July"
"6669f220-ff85-4306-b9bf-91470790b687","","no-status-not-started","","folder","TRUE","FALSE","July 2025","6 July","Prepour"
"c4cf1eb6-fb3a-4038-82f2-ca30ed8f21ec","","no-status-not-started","","folder","TRUE","FALSE","July 2025","6 July","Postpour"
"6010583c-c925-42bc-8120-36df76be4a68","","no-status-not-started","","folder","FALSE","FALSE","July 2025","7 July"
"79f84f0a-b339-4333-a0ce-0b357c9a24be","","no-status-not-started","","folder","TRUE","FALSE","July 2025","7 July","Prepour"
"eb7e6283-0be1-4260-9ea8-b282724d058a","","no-status-not-started","","folder","TRUE","FALSE","July 2025","7 July","Postpour"
"991b46af-5683-4e1b-8394-39c3a0707bf2","","no-status-not-started","","folder","FALSE","FALSE","July 2025","8 July"
"385c5264-daba-4509-a4bc-af6643a0ce72","","no-status-not-started","","folder","TRUE","FALSE","July 2025","8 July","Prepour"
"8af60add-b991-4887-a646-03ae15105b1d","","no-status-not-started","","folder","TRUE","FALSE","July 2025","8 July","Postpour"
"68267ce1-a39e-4a09-8e9a-94c8ba0e572d","","no-status-not-started","","folder","FALSE","FALSE","July 2025","9 July"
"3fd146b1-6cab-4dc9-b081-4ebf178da4ae","","no-status-not-started","","folder","TRUE","FALSE","July 2025","9 July","Prepour"
"8f4f2136-bf29-4929-9a2f-bfa0168d2db2","","no-status-not-started","","folder","TRUE","FALSE","July 2025","9 July","Postpour"
"5a28c204-6241-4855-899b-2c2e1e402739","","no-status-not-started","","folder","FALSE","FALSE","July 2025","10 July"
"95b2a609-72d9-4085-b7c8-2c46ad1be3b6","","no-status-not-started","","folder","TRUE","FALSE","July 2025","10 July","Prepour"
"7eab9a9d-5485-466c-bc57-62c97a47d648","","no-status-not-started","","folder","TRUE","FALSE","July 2025","10 July","Postpour"
"4585eda0-ea34-4873-b804-cd0e6d912f69","","no-status-not-started","","folder","FALSE","FALSE","July 2025","11 July"
"5258191c-be09-4906-815d-efa6680bb61f","","no-status-not-started","","folder","TRUE","FALSE","July 2025","11 July","Prepour"
"a2bef196-93ca-458c-a18c-210f9854de91","","no-status-not-started","","folder","TRUE","FALSE","July 2025","11 July","Postpour"
