"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"231c46f9-6447-4263-9019-61d906e151c8","","folder-normal","pass","","step","TRUE","FALSE","Nov 22"
"83022954-4240-4b9f-a0b7-633222af6d29","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Joel Gilbody "
"2b2e7250-36c3-4995-a25f-7aec3e4ac29d","","checklist-flat","pass","ca2a719d4cd5666dfcea58410604be5e24560a7214c19cb0bf10a5c6e31b027b","checklist-flat","FALSE","FALSE","Nov 22","Joel Gilbody ","Daily Diary / Timesheet9-11-22"
"34c5cfbf-7244-48a8-b68b-5e9e0dc91040","","checklist-flat","pass","ca2a719d4cd5666dfcea58410604be5e24560a7214c19cb0bf10a5c6e31b027b","checklist-flat","FALSE","FALSE","Nov 22","Joel Gilbody ","Daily Diary / Timesheet11-11-22"
"477c931c-23b1-432b-adc4-64165d67007a","","checklist-flat","pass","ca2a719d4cd5666dfcea58410604be5e24560a7214c19cb0bf10a5c6e31b027b","checklist-flat","FALSE","FALSE","Nov 22","Joel Gilbody ","Daily Diary / Timesheet10-11-22"
"526b3150-1f3a-47f2-b413-6c1965a49a47","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Joel Gilbody ","Daily Diary / Timesheet14-11-22"
"69e1dba8-0ae2-415a-bb68-3dc7c940e35b","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Joel Gilbody ","Daily Diary / Timesheet 15-11-22"
"19c31523-d731-4e47-9f99-bf7c4e5b83a9","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Joel Gilbody ","Daily Diary / Timesheet 16-11-22"
"4f571606-d45e-4cc4-8dd2-8af2a8fe11fc","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Joel Gilbody ","Daily Diary / Timesheet 17/11/22"
"d9d808f0-44e1-47a4-a9d2-9be6d0a56d39","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Joel Gilbody ","Daily Diary / Timesheet 18-11-22"
"e06b340b-00c1-45d0-b953-dcf4586671de","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Joel Gilbody ","Daily Diary / Timesheet 21-11-22"
"66b0ae37-e4b0-46e4-92c2-8593a9dc696a","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Joel Gilbody ","Daily Diary / Timesheet 22-11-22"
"86bf3507-e5b9-4045-8a8b-aa84bd8cc9a5","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Joel Gilbody ","Daily Diary / Timesheet 23-11-22"
"1134fad6-c16e-4493-8da4-bf18865072ed","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Joel Gilbody ","Daily Diary / Timesheet 24-11-22"
