"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"950f5800-dd10-4745-90c4-c198dd59a4b8","","checklist-flat","not-started","Document Upload","checklist-flat","FALSE","FALSE","Documents"
"6bcf6ef6-dcec-40d9-b395-f51ab78c7203","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"697de3f3-c7ed-49b9-8c22-1c04477d8dcd","","checklist-sectioned","not-started","Metal Windows & Doors Checklist","checklist","FALSE","FALSE","Site QA","Window #14. W-01 Flush/Seismic"
"45b989b4-b9b8-4326-843a-b02a8d1e3951","","checklist-sectioned","work-in-progress","Metal Windows & Doors Checklist","checklist","FALSE","FALSE","Site QA","Window #14. W-02 Flush/Seismic"
"622174c1-7178-4e09-91ea-b15e85307621","","checklist-sectioned","work-in-progress","Metal Windows & Doors Checklist","checklist","FALSE","FALSE","Site QA","Window #14. W-03 Flush/Seismic"
"2bb32a22-6325-4cbb-933b-130ba62c204c","","checklist-sectioned","work-in-progress","Metal Windows & Doors Checklist","checklist","FALSE","FALSE","Site QA","Window #14. W-04 Flush/Seismic"
"b0d4056d-c953-42e7-b317-8f94928aa9c9","","checklist-sectioned","work-in-progress","Metal Windows & Doors Checklist","checklist","FALSE","FALSE","Site QA","Window #14. W-05 Flush/Seismic"
"ee607060-6317-49db-82cf-ca5d0454736a","","checklist-sectioned","work-in-progress","Metal Windows & Doors Checklist","checklist","FALSE","FALSE","Site QA","Window #14. W-08 Flush/Seismic"
"8fdeb935-c984-411d-b731-877779bfb862","","checklist-sectioned","work-in-progress","Metal Windows & Doors Checklist","checklist","FALSE","FALSE","Site QA","Window #14. W-09 Flush/Seismic"
"daa5786a-6951-42cc-9c63-62153a53c8eb","","checklist-sectioned","not-started","Metal Windows & Doors Checklist","checklist","FALSE","FALSE","Site QA","Window #14. W-10 Flush/Seismic"
"e2199f4d-0404-45ab-a529-0b76df57f113","","checklist-sectioned","work-in-progress","Metal Windows & Doors Checklist","checklist","FALSE","FALSE","Site QA","Window #14. W-06 Flush/Seismic"
"36c73758-cde8-4379-872d-081eb2c18415","","checklist-sectioned","work-in-progress","Metal Windows & Doors Checklist","checklist","FALSE","FALSE","Site QA","Window #14. W-07 Flush/Seismic"
"322369bc-5bdb-4bff-ace4-e535fcb7947f","","checklist-sectioned","not-started","Metal Windows & Doors Checklist","checklist","FALSE","FALSE","Site QA","Window #14. W-12 Flush/Seismic"
