"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a17cea0f-ba3b-4915-9017-977bb3bc0c8c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"425a67f9-136a-4e93-9209-a2ff9ef0d812","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Retention Piling"
"63bcdca0-243f-4bf7-94c0-1073a6009425","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Retention Piling","North"
"8c1c01d2-be18-4336-bb19-d989df6c493a","","checklist-flat","work-in-progress","ITP- Retention Piling Rev1","checklist-flat","FALSE","FALSE","Site QA","Retention Piling","North","ITP- Retention Piling Rev1"
"bf405fd6-4f56-40fd-914a-0192b24b354e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Capping beam"
"6a966f54-bbc2-479b-857b-340e77a48625","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Shotcrete Wall"
"e86a1371-add1-41d3-acdf-a7a56e97854f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","FRP for the foundations"
