type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,ITC - Earthworks Select Fill,,,,,,ITC - Earthworks Select Fill,
section,1 - Prior Works,,,,,,,
checkpoint,1.1 - Materials are compliant to design,,,,,,,
checkpoint,1.2 - Surveyor pad layout,,,,,,,
checkpoint,1.3 - Installation of Erosion and Sediment Controls installed,,,,,,,
section,2 - Earthworks – Subgrade,,,,,,,
checkpoint,2.1 - Existing surface – with existing hardstand material,,,,,,,
checkpoint,"2.1.1 - Surface tyned and free of unsuitable material i.e., construction debris, vegetation, etc.",,,,,,,
checkpoint,2.1.2 - Compacted to 98% prior to fill ,,,,,,,
textbox,Actual SMDD value:,,,,,,,
textbox,Test Report number:,,,,,,,
checkpoint,2.1.3 - Surface has been proof rolled. No perceptible movement observed.,,,,,,,
checkpoint,2.2 - Existing surface – without existing hardstand material,,,,,,,
checkpoint,"2.2.1 - Surface stripped to 150mm depth and free of unsuitable material i.e., construction debris, vegetation etc.",,,,,,,
checkpoint,2.2.2 - Compact subgrade to a minimum depth of 200mm to 98% SMDD to achieve CBR 5%,,,,,,,
textbox,Actual SMDD value:,,,,,,,
textbox,Test Report number:,,,,,,,
checkpoint,2.3 - Finish subgrade surface level Survey pick-up (As-Constructed) prior to select fill Tolerances: ± 10 V/H,,,,,,,
checkpoint,2.4 - Cultural heritage artefacts – Visual only,,,,,,,
checkpoint,2.5 - Contaminated soil – Visual only,,,,,,,
section,2.6 - Earthworks : Select Fill Type A1 with CBR 15%,,,,,,,
checkpoint,2.6.1 - Platform Tie In 200mm vertical steps and 600mm wide,,,,,,,
checkpoint,2.6.2 - Spread fill and compact maximum layer of 150mm,,,,,,,
checkpoint,2.6.3 - Compacted to 98% SMDD,,,,,,,
textbox,Actual SMDD value:,,,,,,,
textbox,Test Report number:,,,,,,,
checkpoint,2.6.4 - Finish fills surface level Survey pick-up (As-Constructed) Tolerances: ± 10 V/H,,,,,,,
section,3 - Post Works,,,,,,,
checkpoint,3.1 - Final sweep to remove loose and unwanted materials prior to next layer,,,,,,,
checkpoint,3.2 - Clean-up of Site,,,,,,,
checkpoint,Checked – Subcontractor / Verified – UGL Project Engineer,,,,,,,
holdpoint,Add Signatures,,,,,,,
