"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e3b46aa8-0657-41ed-93ab-b64d2061b5eb","","folder-normal","fail","","step","TRUE","FALSE","Project QA"
"b291b5b1-7801-4fa5-96ef-c357d1554b50","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Ground Floor"
"dd20af6d-f9fa-424e-9b1f-ed28542c3faf","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Ground Floor","GF - Under Stair Room 41"
"99e317e4-c161-4f9f-85d2-c6920a520689","","checklist-flat","work-in-progress","Timber Doors","checklist-flat","FALSE","FALSE","Project QA","Ground Floor","GF - Under Stair Room 41","Timber Doors"
"ef5af41c-3cd5-4e43-83de-b3221384f8f5","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","Ground Floor","GF - A WC - Room 51"
"f07acfdc-ff9d-4467-9438-a506a5bf0321","","checklist-flat","not-started","Timber Doors","checklist-flat","FALSE","FALSE","Project QA","Ground Floor","GF - A WC - Room 51","Timber Doors"
"82f4645b-d434-4631-93ed-18aa1072bc91","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Ground Floor","GF - WC1 - Room 52"
"1097befb-8f0f-425e-8752-eb64a5d5323f","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","Ground Floor","GF - WC2 - Room 53 "
"8f224bd0-bd40-4beb-9cd5-efb390331eca","","checklist-flat","not-started","Plumbing First Fix","checklist-flat","FALSE","FALSE","Project QA","Ground Floor","GF - WC2 - Room 53 ","Plumbing First Fix"
"835ec373-ad6a-4325-875e-50357ce37061","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Ground Floor","GF - Cleaners - Room 54"
"0a6e2df2-d13c-4aa8-88e4-82cb4a0c6dd5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Ground Floor","GF - Riser B - Room 83"
"39cfca1d-2ace-4a73-a0da-baa567d5f735","","checklist-flat","work-in-progress","Timber Doors","checklist-flat","FALSE","FALSE","Project QA","Ground Floor","GF - Riser B - Room 83","Timber Doors"
"fcd88a95-f7c2-4745-b6af-536154c3a7b0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Ground Floor","GF - Smoke / Lift Lobby - Room 62"
"ba0a220c-b4ec-43a4-ac66-e4e852a46c80","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Ground Floor","GF - Riser A - Room 85"
"b1c7b1b4-44da-4f63-b06f-129abdb83f1a","","checklist-flat","work-in-progress","Timber Doors","checklist-flat","FALSE","FALSE","Project QA","Ground Floor","GF - Riser A - Room 85","Timber Doors"
"4e40958b-7a37-48ac-acaa-3b17e08bc7d1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Ground Floor","GF - DB - Room 82 "
"6b0fc749-b9d5-4f03-b210-975cc723aacf","","checklist-flat","work-in-progress","Timber Doors","checklist-flat","FALSE","FALSE","Project QA","Ground Floor","GF - DB - Room 82 ","Timber Doors"
"e6031e01-a7cc-44aa-819a-0104a52b9894","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Ground Floor","GF - Stair - Room 71"
"306b20d6-fcef-4e95-8a12-9cdd5186751a","","checklist-flat","work-in-progress","Timber Doors","checklist-flat","FALSE","FALSE","Project QA","Ground Floor","GF - Stair - Room 71","Timber Doors"
"248e00ab-c984-4390-b7a5-09bed6e1c3b6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Ground Floor","GF - MSB - Room 81"
"b2c11f5d-7a9d-4b16-b77e-e2443611136b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Ground Floor","GF - Riser C - Room 87 "
"c6123e44-c466-4f05-8814-9a5d56294457","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Ground Floor","GF - Server Comms - Room 84"
"8a9fa2b8-987d-4f94-865c-6a59a217a390","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Ground Floor","GF - Store - Room 42 "
"25ff9f62-0411-4368-82be-ffe477c86a99","","checklist-flat","work-in-progress","Timber Doors","checklist-flat","FALSE","FALSE","Project QA","Ground Floor","GF - Store - Room 42 ","Timber Doors"
"256cc501-b8b0-4d48-917b-4a97f410d12c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Ground Floor","GF - Fire Egress - Room 63 "
"cddc9e5c-9f7c-4599-89a5-470ef005e29a","","checklist-flat","work-in-progress","Timber Doors","checklist-flat","FALSE","FALSE","Project QA","Ground Floor","GF - Fire Egress - Room 63 ","Timber Doors"
"afd4756a-3880-4e52-bcb1-620943c65e30","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Ground Floor","GF - WC Lobby - Room 64 "
"7d78de24-f7d7-484b-8e1e-e5fafdfbd820","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Ground Floor","GF - Sprinkler Valve - Room 86 "
"0899ca8c-66b1-4fd7-90e2-e9a694c7e954","","folder-normal","fail","","step","TRUE","FALSE","Project QA","Level 1"
"82d4c42e-e8bc-4c69-9624-86c8e9c10e0d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Level 1","L1 - WC Lobby - Room 64"
"c618c489-7afb-490f-aab5-5e48bcc484fc","","checklist-flat","work-in-progress","Preline Inspection checklist","checklist-flat","FALSE","FALSE","Project QA","Level 1","L1 - WC Lobby - Room 64","Preline Inspection checklist"
"7ec19c0a-4c31-4a8a-bcfd-a6e29cd90786","","folder-normal","fail","","step","TRUE","FALSE","Project QA","Level 1","L1 - WC 2 - Room 51"
"434e446e-4453-42b9-ab06-dfab746a2095","","checklist-flat","fail","Preline Inspection checklist","checklist-flat","FALSE","FALSE","Project QA","Level 1","L1 - WC 2 - Room 51","Preline Inspection checklist"
