type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,
checklist-flat,Production and Testing ITPs,,,,,Yes,Production and Testing ITPs,03ba6713-33d2-4f0e-8fee-0e534bf8e297,,,,,,,
checkpoint,Production and Testing ITPs,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,Approved JMF,,,,,Yes,Approved JMF,0f230045-6516-4dd6-932c-88e32a125c5d,,,,,,,
checkpoint,Approved JMF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,QMP,,,,,Yes,QMP,d11d2615-699c-4242-a2e7-fdf176a2a6c6,,,,,,,
checkpoint,QMP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,Verified Program,,,,,Yes,Verified Program,4031e91b-ef8c-473e-8e03-e3b98a769670,,,,,,,
checkpoint,Verified Program,,,,,,,,,,,,,,
