"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"32da4760-bb96-4e39-8083-ba274bc0da77","","no-status-not-started","","folder","TRUE","FALSE","Waste Water"
"4451b794-c1c2-437b-8961-5d196596029b","","no-status-not-started","","folder","TRUE","FALSE","Waste Water","Wihongi Street & Rising Main Wastewater Package 1"
"68555f56-5228-47ca-9094-488bd0b4e0b7","","no-status-not-started","","folder","TRUE","FALSE","Waste Water","Orrs Road and Rankin Street Waste Water Package 2"
"4adcfdd0-2032-40aa-8758-4dbb6ddf3d15","","no-status-not-started","","folder","TRUE","FALSE","Waste Water","Bisset Road Waste Water Package 3"
"228e9e58-90e5-4d0b-8a85-7a842f9de1da","","no-status-not-started","","folder","TRUE","FALSE","Waste Water","Recreation Road Waste Water Package 4"
"6e04f3ff-c236-4e5b-b273-2eb0d8c868f0","","no-status-not-started","","folder","TRUE","FALSE","Waste Water","Shaw Street Waste Water Package 5"
"d1dc5483-dae4-4a1e-a35b-8019e8542406","","no-status-not-started","","folder","TRUE","FALSE","Water Supply Reticulation"
"7d704d05-b74c-4952-b010-4490578001ee","","no-status-not-started","","folder","TRUE","FALSE","Water Supply Reticulation","Te Puna Wai Lane"
"ef963026-51f9-4ba0-905a-b44af9d64b88","","no-status-not-started","","folder","TRUE","FALSE","Water Supply Reticulation","Wihongi Street"
"0e68bb15-d65b-471a-be09-e64987b34973","","no-status-not-started","","folder","TRUE","FALSE","Water Supply Reticulation","Hongi Street"
"cd46665e-2e43-44d8-a7df-15c59d871c55","","no-status-not-started","","folder","TRUE","FALSE","Water Supply Reticulation","Bisset Road"
"a2d0a00a-5831-4cc1-b863-0cabaa1c247f","","no-status-not-started","","folder","TRUE","FALSE","Water Supply Reticulation","Tuhuna Road"
"c4819104-0906-4a21-98aa-893d9ba031db","","no-status-not-started","","folder","TRUE","FALSE","Water Supply Reticulation","Rowsell Heights"
"3c214cf8-1eb9-4302-be89-81842b140d31","","no-status-not-started","","folder","TRUE","FALSE","Water Supply Reticulation","Monument Road"
"493745ff-a55d-47c1-824a-26f0aa24a6e0","","no-status-not-started","","folder","TRUE","FALSE","Water Supply Reticulation","Orrs Road"
"6c7ca3c4-b646-4fa2-9c2b-380a2f84bade","","no-status-not-started","","folder","TRUE","FALSE","Water Supply Reticulation","Omapere Road"
"e04e1585-3074-498d-8691-b519c5b73365","","no-status-not-started","","folder","TRUE","FALSE","Water Supply Reticulation","Williams Avenue"
