"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ad2e66d9-2596-4836-a908-083dbbe44f93","","fail","","folder","TRUE","FALSE","Site QA"
"784115f6-d19e-481e-98da-2dadf5aee4f3","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building A"
"998b52fe-078b-4425-921a-56aa05273680","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building A","Level 2"
"623dd645-284e-4fac-9eb7-8bd581819cf9","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building A","Level 2","Residential areas"
"3bfc0efe-503c-42bd-9d67-17d4450a6dec","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building A","Level 2","Residential areas","Apartment 201"
"1a4c758d-b499-4b8b-b57d-70833373af5a","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 2","Residential areas","Apartment 201","Pre Wire"
"db2e476e-f5a0-45a1-9c99-98a3e2180ad7","","work-in-progress","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 2","Residential areas","Apartment 201","Install DB"
"38bfcba2-131a-467e-9423-30bb2254c81d","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 2","Residential areas","Apartment 201","Fit off"
"12115359-a4f1-4779-950b-21daef9c61be","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building A","Level 2","Residential areas","Apartment 202"
"2548f372-e6e4-47bb-bb7f-d2ee5c634d13","","pass","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 2","Residential areas","Apartment 202","Pre Wire"
"04ee5474-c415-4704-98ec-076319f31ced","","not-started","Install ADE - Apartment Distribution Enclosure","checklist","FALSE","FALSE","Site QA","Building A","Level 2","Residential areas","Apartment 202","Install DB"
"9b71ff1d-422d-4f09-9d05-98780b1f6c3b","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 2","Residential areas","Apartment 202","Fit off"
"cd0b5b3b-ee44-4a38-9b50-e3f9139d1266","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building A","Level 2","Service areas"
"1fba1def-130d-47c0-b4c1-44610c909ff2","","not-started","","folder","TRUE","FALSE","Site QA","Building A","Level 2","Service areas","Electrical DB"
"cd71aab5-57f1-470a-99e1-53ff58f19983","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 2","Service areas","Electrical DB","Pre Wire"
"a374d1a4-f79f-4d38-99b8-259a1cd54907","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building A","Level 2","Service areas","Electrical DB","Terminated & Tested"
"ebb72658-ed0e-4aa4-8533-a9b662440ad4","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 2","Service areas","Electrical DB","Fit off"
"4b8dd48e-349c-453b-95b3-cc1bd0124291","","not-started","","folder","TRUE","FALSE","Site QA","Building A","Level 2","Service areas","Services (Riser)"
"4145fb4e-6434-43db-b4a9-b525768bb486","","not-started","Pre Wire","checklist","FALSE","FALSE","Site QA","Building A","Level 2","Service areas","Services (Riser)","Pre Wire"
"5d09f5c9-8ab8-4784-80e7-419eb977e3d3","","not-started","Terminated & Tested","checklist","FALSE","FALSE","Site QA","Building A","Level 2","Service areas","Services (Riser)","Terminated & Tested"
"159e2942-07ee-401c-9fd8-7b2a57cfa987","","not-started","Fit off","checklist","FALSE","FALSE","Site QA","Building A","Level 2","Service areas","Services (Riser)","Fit off"
"ede60bc6-f6e7-4dfe-bef7-4d01d4d4b7c6","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building A","Level 2","Service areas","Stair"
