Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
Fit Off,,,,,,,,,
,Scope,,,,,,,,
,Rows,,,,,,,,
,,Building A,grouping,building a,,,,,
,,Level 2 - Apartment 201,,site qa,fit off,residential areas,building a,apartment 201,level 2
,,Level 2 - Apartment 202,,site qa,fit off,residential areas,building a,level 2,apartment 202
,,Level 2 - Electrical DB,,site qa,fit off,building a,service areas,electrical db,level 2
,,Level 2 - Services (Riser),,site qa,fit off,services (riser),building a,service areas,level 2
,,Level 3 - Apartment 301,,site qa,fit off,residential areas,building a,apartment 301,level 3
,,Level 3 - Apartment 302,,site qa,fit off,residential areas,building a,level 3,apartment 302
,,Level 3 - Apartment 303,,apartment 303,site qa,fit off,residential areas,building a,level 3
,,Level 3 - Apartment 304,,apartment 304,site qa,fit off,residential areas,building a,level 3
,,Level 3 - Apartment 305,,apartment 305,site qa,fit off,residential areas,building a,level 3
,,Level 3 - Apartment 306,,site qa,apartment 306,fit off,residential areas,building a,level 3
,,Level 3 - Apartment 307,,site qa,fit off,residential areas,apartment 307,building a,level 3
,,Level 3 - Apartment 308,,site qa,fit off,residential areas,building a,apartment 308,level 3
,,Level 3 - Apartment 309,,site qa,fit off,residential areas,building a,apartment 309,level 3
,,Level 3 - Apartment 310,,site qa,fit off,residential areas,apartment 310,building a,level 3
,,Level 3 - Apartment 311,,site qa,fit off,residential areas,building a,apartment 311,level 3
,,Level 3 - Apartment 312,,site qa,fit off,residential areas,building a,apartment 312,level 3
,,Level 3 - Apartment 313,,site qa,fit off,residential areas,building a,level 3,apartment 313
,,Level 3 - Apartment 314,,apartment 314,site qa,fit off,residential areas,building a,level 3
,,Level 3 - Stair 1,,site qa,fit off,building a,common areas,stair 1,level 3
,,Level 3 - Corridor near 301,,site qa,corridor near 301,fit off,building a,common areas,level 3
,,Level 3 - Corridor near 303,,site qa,fit off,building a,common areas,corridor near 303,level 3
,,Level 3 - ICT Riser,,ict riser,site qa,fit off,building a,service areas,level 3
,,Level 3 - Comms Room,,site qa,comms room,fit off,building a,service areas,level 3
,,Level 4 - Apartment 401,,level 4,site qa,fit off,residential areas,building a,apartment 401
,,Level 4 - Apartment 402,,level 4,apartment 402,site qa,fit off,residential areas,building a
,,Level 4 - Apartment 403,,level 4,apartment 403,site qa,fit off,residential areas,building a
,,Level 4 - Apartment 404,,level 4,apartment 404,site qa,fit off,residential areas,building a
,,Level 4 - Apartment 405,,level 4,site qa,apartment 405,fit off,residential areas,building a
,,Level 4 - Apartment 406,,level 4,site qa,fit off,residential areas,apartment 406,building a
,,Level 4 - Apartment 407,,level 4,site qa,fit off,residential areas,building a,apartment 407
,,Level 4 - Apartment 408,,level 4,site qa,fit off,residential areas,building a,apartment 408
,,Level 4 - Apartment 409,,level 4,site qa,fit off,residential areas,building a,apartment 409
,,Level 4 - Apartment 410,,level 4,site qa,fit off,residential areas,building a,apartment 410
,,Level 4 - Apartment 411,,level 4,site qa,fit off,residential areas,building a,apartment 411
,,Level 4 - Apartment 412,,level 4,site qa,fit off,residential areas,building a,apartment 412
,,Level 4 - Apartment 413,,level 4,apartment 413,site qa,fit off,residential areas,building a
,,Level 4 - Apartment 414,,level 4,apartment 414,site qa,fit off,residential areas,building a
,,Level 4 - Corridor,,level 4,corridor,site qa,fit off,building a,common areas
,,Level 4 - ICT Riser,,level 4,ict riser,site qa,fit off,building a,service areas
,,Level 5 - Apartment 501,,apartment 501,level 5,site qa,fit off,residential areas,building a
,,Level 5 - Apartment 502,,level 5,apartment 502,site qa,fit off,residential areas,building a
,,Level 5 - Apartment 503,,level 5,apartment 503,site qa,fit off,residential areas,building a
,,Level 5 - Apartment 504,,level 5,site qa,apartment 504,fit off,residential areas,building a
,,Level 5 - Apartment 505,,level 5,site qa,fit off,residential areas,apartment 505,building a
,,Level 5 - Apartment 506,,level 5,site qa,fit off,residential areas,building a,apartment 506
,,Level 5 - Apartment 507,,level 5,site qa,fit off,residential areas,building a,apartment 507
,,Level 5 - Apartment 508,,level 5,site qa,fit off,residential areas,building a,apartment 508
,,Level 5 - Apartment 509,,apartment 509,level 5,site qa,fit off,residential areas,building a
,,Level 5 - Apartment 510,,level 5,site qa,fit off,residential areas,building a,apartment 510
,,Level 5 - Apartment 511,,level 5,site qa,fit off,residential areas,building a,apartment 511
,,Level 5 - Apartment 512,,apartment 512,level 5,site qa,fit off,residential areas,building a
,,Level 5 - Corridor,,level 5,corridor,site qa,fit off,building a,common areas
,,Level 5 - ICT Riser,,ict riser,level 5,site qa,fit off,building a,service areas
,,Building B,grouping,building b,,,,,
,,Level 2 - Apartment 201,,site qa,fit off,residential areas,apartment 201,building b,level 2
,,Level 2 - Apartment 202,,site qa,fit off,residential areas,building b,level 2,apartment 202
,,Level 2 - Apartment 203,,site qa,fit off,residential areas,building b,level 2,apartment 203
,,Level 2 - Apartment 204,,apartment 204,site qa,fit off,residential areas,building b,level 2
,,Level 2 - Maintanance/ Store,,site qa,fit off,common areas,building b,level 2,maintanance/ store
,,Level 2 - Hobbies workshop,,site qa,fit off,common areas,building b,level 2,hobbies workshop
,,Level 2 - Hobbies lounge,,hobbies lounge,site qa,fit off,common areas,building b,level 2
,,Level 2 - Scooter Parking,,site qa,fit off,common areas,building b,level 2,scooter parking
,,Level 2 - Corridors,,site qa,fit off,common areas,building b,level 2,corridors
,,Level 2 - ICT Riser,,ict riser,site qa,fit off,service areas,building b,level 2
,,Level 2 - Comms Room,,site qa,comms room,fit off,service areas,building b,level 2
,,Level 3 - Apartment 301,,site qa,fit off,residential areas,building b,apartment 301,level 3
,,Level 3 - Apartment 302,,site qa,fit off,residential areas,building b,level 3,apartment 302
