"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a18acc9a-c3c0-49a5-9ad2-434a3a3b5597","","checklist-sectioned","","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB3","AE-ITCX-002 - Monthly RCD Test Sheet"
"2dba93c9-5818-40ec-a8e8-48b081dabf96","","checklist-sectioned","","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB3","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"54c1496d-635b-480b-9d21-2161609424b7","","folder-normal","","","step","TRUE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB4"
"64cdd1cc-bc4e-4555-9d06-8dfd370eea84","","checklist-sectioned","","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB4","AE-ITCX-001 - Temp DB Checklist"
"1e8fc60e-d5e3-453c-be37-84b5a4157663","","checklist-sectioned","","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB4","AE-ITCX-002 - Monthly RCD Test Sheet"
"5958bdcb-9979-4b3b-a99b-0b3e3427f0ee","","checklist-sectioned","","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB4","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"d295b744-370d-4ab9-84fb-be7b165c0479","","folder-normal","","","step","TRUE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB5"
"8eeeada7-89e9-441b-a560-a89cc1d1567d","","checklist-sectioned","","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB5","AE-ITCX-001 - Temp DB Checklist"
"7f0397b8-3b59-4947-99a9-d9610a32c490","","checklist-sectioned","","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB5","AE-ITCX-002 - Monthly RCD Test Sheet"
"542ad7ef-ddfc-465f-b0b8-f00f14825296","","checklist-sectioned","","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB5","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"f053a867-25c9-4901-af8f-36f99bb68675","","folder-normal","","","step","TRUE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB6"
"6479325a-dafd-4cad-971b-8f66dbf00a80","","checklist-sectioned","","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB6","AE-ITCX-001 - Temp DB Checklist"
"603445b3-7b8a-40b3-b80f-c968c6cf32aa","","checklist-sectioned","","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB6","AE-ITCX-002 - Monthly RCD Test Sheet"
"26ca572d-de6c-4708-a699-68489b3b9716","","checklist-sectioned","","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB6","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"ac90cb6b-363d-489e-90ad-cac364f4fcec","","folder-normal","","","step","TRUE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB7"
