"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3511344d-1f74-5d81-b41e-5e9e4f384e8a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-001S","Panel has been installed correctly and is free from defects"
"393f4ef5-93b7-59c3-9762-78b39fdf6d21","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-001S","Bracket Installation"
"85bf1700-2193-577e-8683-3a904a7be15e","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-001S","Panel"
"87a35bc2-fb3a-42b0-93e3-d3df2a066821","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-002"
"c086d4c0-66a1-5de6-a09d-3622011237b6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-002","Panel has been installed correctly and is free from defects"
"81798598-59ec-5028-a317-15627785198d","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-002","Bracket Installation"
"45c8d4ee-0cc4-5026-aefd-88cbe2f722b6","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-002","Panel"
"34d097b4-93f4-479d-80d0-0bc575433df0","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-002"
"d7a74a36-0435-55ae-a12a-25a34cb0ffd9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-002","Panel has been installed correctly and is free from defects"
"814afdfe-0d4f-59c1-8538-07c5599222a8","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-002","Bracket Installation"
"4570bd58-afc1-5594-a340-11f53bd01a1f","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-002","Panel"
"65623a6b-b9d3-4e65-b4c7-31c95d1298ad","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-002"
"4940149a-b415-5940-a528-c7835b8d8cef","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-002","Panel has been installed correctly and is free from defects"
"1fe7fd3f-e7b5-51b7-8b83-5ceb6721fc1e","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-002","Bracket Installation"
"57b142ad-a0be-55b5-a5f0-0495dad8a660","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-002","Panel"
"9e59cfb3-8e8e-4bf4-bdbf-d25f19438015","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-002S"
"c91e6024-82d5-5d6e-af53-1257ab6dcad2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-002S","Panel has been installed correctly and is free from defects"
"baf0c1ab-7b47-591b-97e1-a306c6c93bb2","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-002S","Bracket Installation"
"f161b4bf-02bc-50d5-9809-0f354e07bbe0","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-002S","Panel"
"50fb0d86-48f6-45c7-a76d-22020b17520e","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-003"
"c15a69f0-5f56-5215-a8ab-d16a8005e189","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-003","Panel has been installed correctly and is free from defects"
"28aca701-3baa-5d2f-ab71-470448d727c0","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-003","Bracket Installation"
"5ace6c53-685d-5825-92a1-a464a1d70224","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-003","Panel"
"4f28f500-cd03-4139-b01d-cae5f0e75ccf","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-003"
"9d173c2c-5d4b-5448-9687-4ac64658259d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-003","Panel has been installed correctly and is free from defects"
"37a0523a-fce1-5dfa-93ab-df93b54bbdab","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-003","Bracket Installation"
"4bc0220a-bb27-5c8b-99fb-4bc158aec4cf","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-003","Panel"
