resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,step,,,Site QA,,,,,,,,
,,,,,step,,,,Level 1,,,,,,,
Lobby,,,,,checklist,,,,,West Tower Lift Lobby,,,,,,
Lobby,,,,,checklist,,,,,East Tower Lift Lobby,,,,,,
,,,,,step,,,,Level 2,,,,,,,
Lobby,,,,,checklist,,,,,West Tower Lift Lobby,,,,,,
Lobby,,,,,checklist,,,,,East Tower Lift Lobby,,,,,,
,,,,,step,,,,Level 3,,,,,,,
Lobby,,,,,checklist,,,,,West Tower Lift Lobby,,,,,,
Lobby,,,,,checklist,,,,,East Tower Lift Lobby,,,,,,
,,,,,step,,,,Level 4,,,,,,,
Lobby,,,,,checklist,,,,,West Tower Lift Lobby,,,,,,
Lobby,,,,,checklist,,,,,East Tower Lift Lobby,,,,,,
,,,,,step,,,,West Tower,,,,,,,
,,,,,step,,,,,Level 5,,,,,,
Lobby,,,,,checklist,,,,,,Lobby,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,501,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,502,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,503,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,504,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,505,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,506,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,507,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,508,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,509,,,,,
,,,,,step,,,,,Level 6,,,,,,
Lobby,,,,,checklist,,,,,,Lobby,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,601,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,602,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,603,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,604,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,605,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,606,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,607,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,608,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,609,,,,,
,,,,,step,,,,,Level 7,,,,,,
Lobby,,,,,checklist,,,,,,Lobby,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,701,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,702,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,703,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,704,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,705,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,706,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,707,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,708,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,709,,,,,
,,,,,step,,,,,Level 8,,,,,,
Lobby,,,,,checklist,,,,,,Lobby,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,801,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,802,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,803,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,804,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,805,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,806,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,807,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,808,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,809,,,,,
,,,,,step,,,,,Level 9,,,,,,
Lobby,,,,,checklist,,,,,,Lobby,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,901,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,902,,,,,
"Kitchen, Lounge & Dining",Bathroom & Laundry,External Wet Areas,,,folder-with-checklists,,,,,,903,,,,,
