Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,BUILDING B02,grouping,BUILDING B02,
,,Building B02 - Level 1,dynamic,Level 1,Building B02
,,Building B02 - Level 2,dynamic,Level 2,Building B02
,,Building B02 - Level 3,dynamic,Level 3,Building B02
,,Building B02 - Level 4,dynamic,Level 4,Building B02
,,Building B02 - Level 5,grouping,Building B02 - Level 5,
,,Level 5,,Level 5,Building B02
,,BUILDING BO1B,grouping,BUILDING BO1B,
,,Building BO1B - Level 1,dynamic,Level 1,Building BO1B
,,BUILDING 3A,grouping,BUILDING 3A,
,,Building 3A - North,,North,Building 3A
,,Building 3A - South,,South,Building 3A
,,Building 3A - East,,East,Building 3A
,,Building 3A - West,,West,Building 3A
,,BUILDING 3B,grouping,BUILDING 3B,
,,Building 3B - North,,North,Building 3B
,,Building 3B - South,,South,Building 3B
,,Building 3B - East,,East,Building 3B
,,Building 3B - West,,West,Building 3B
,,BUILDING 3C,grouping,BUILDING 3C,
,,Building 3C - North,,North,Building 3C
,,Building 3C - South,,South,Building 3C
,,Building 3C - East,,East,Building 3C
,,Building 3C - West,,West,Building 3C
,Columns,,,,
,,Main Building & Townhouse Spiderproofing,,Main Building & Townhouse Spiderproofing,
,,Main Building Gutter Debris Removal,,Main Building Gutter Debris Removal,
,,Main Building Plaster Wall Washdowns,,Main Building Plaster Wall Washdowns,
,,Path Treatments & Lamp Cleaning,,Path Treatments & Lamp Cleaning,
