"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9558078a-7071-49c1-bb43-3ab88f2587d9","","not-started","","folder","TRUE","FALSE","Enabling Works"
"aea81dca-9a2a-485a-8137-57c25eb25039","","not-started","","folder","TRUE","FALSE","Enabling Works","General"
"13d53a99-e424-4408-9c5d-a6e7b68b11e0","","not-started","LQS-QA-6000 - ITP - Compliance Record","checklist","FALSE","FALSE","Enabling Works","General","1.1.1 - Southern Crane Pad"
"9bbe5a41-2eaf-4fa2-bd82-63139cc05d2b","","not-started","LQS-QA-6000 - ITP - Compliance Record","checklist","FALSE","FALSE","Enabling Works","General","1.1.2 - Diversion Culvert + Inlet"
"2bcecf00-2409-4b62-a339-84578fe33a69","","not-started","LQS-QA-6092 - ITP - Water Services","checklist","FALSE","FALSE","Enabling Works","General","1.1.3 - Salt Marsh Lane - MDPE 63mm"
"558f558a-1a16-4b63-b3de-0621d0036b58","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Headingly Lane"
"bef36e17-3014-4613-bc0d-974908f19e53","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Lower Queen St (Left)"
"ce64ec04-7258-4d99-80b8-166f35b2df0b","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Manholes, Structures & Sumps"
"f089ee00-d071-4ef2-b83e-cc6b1a0ed177","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Stormwater"
"5cc50d4f-03ec-4a81-abe4-2d0400ebb327","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Wastewater"
"363dd353-8079-45ae-8c2b-18aa8b92bfe7","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Water"
"07403331-1f4b-4af9-9bac-748663e9dece","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Abutment A"
"12686967-7865-4aa6-835b-8520c3af99b5","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Abutment A (Left)"
"cd44096b-923d-4623-a8db-7d8c811841fb","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Abutment D"
"dff09967-7be7-4faa-8674-6a544ea66ae4","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Abutment D (Right)"
"e85044bb-feb7-41a9-93d7-f62bd92d20dc","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Bridge Lower Queen St"
"a58fd4e3-b966-4ba5-b787-1f2608a87992","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Bulk Earthworks"
"001c9cf4-7a1b-4322-bff2-0076ef28b304","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","East Lower Queen St"
"780b5788-118f-42db-9bad-12f3d1342b1a","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Hand Rails"
"7d208c50-3237-4221-9130-c12fb152d0e9","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Lower Queen St (Right)"
"442c181a-3d0c-4d34-bfc5-a895ea9eda80","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Pier B"
"b8715c5b-8fcc-4244-be54-2239536c4c9d","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Pier B (Left)"
"435cfe2a-2260-470c-8378-9c3170d26025","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Pier C"
"c6f41508-c06f-4dd1-aabf-7a6b9e109794","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Pier C (Right)"
"d4911e46-6aa9-446b-aed0-4fa53650c61b","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Power"
"ebd7b123-3e5c-47fd-9e29-97ca12b9dbc7","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","River Protection"
"c44b1d8c-85b8-4c17-9d8c-785f715c41ce","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Span 1"
"b67fab0c-a655-47e5-ab64-7cf0676aa7bf","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Span 2"
"2a16676d-a2cc-4a1b-984f-c7cf41c9cf6f","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Span 3"
"0a91e43f-74b9-4c84-b978-954ac3d522f3","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Structural Fill"
"da468838-152d-4daf-be68-0417ef0b6282","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Telecom"
"622f3324-8d5c-4965-8a7f-b9b6c2a09bf7","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Temporary Bridge Deck"
"f5df9c43-9b59-4af7-b03b-43054272733a","","no-status-not-started","","folder","TRUE","FALSE","Enabling Works","Temporary Road"
