Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7
a7e36308-9321-4181-a958-f0e7154f1102,,checklist-flat,not-started,7d9861ff601138cb78c12fb180aee50582bd1469274842a23eda5ea0fe8d3800,checklist-flat,FALSE,FALSE,Site QA,Slabs & Columns,Level 4,North,Columns,C1,Built Sign-off
a72f439d-8c7a-4802-ba8a-0146d77ddd91,,checklist-flat,not-started,7d9861ff601138cb78c12fb180aee50582bd1469274842a23eda5ea0fe8d3800,checklist-flat,FALSE,FALSE,Site QA,Slabs & Columns,Level 4,North,Columns,C2,Built Sign-off
c191c9cb-7749-41f2-8923-f7d2c1f25339,,checklist-flat,not-started,7d9861ff601138cb78c12fb180aee50582bd1469274842a23eda5ea0fe8d3800,checklist-flat,FALSE,FALSE,Site QA,Slabs & Columns,Level 4,North,Columns,C3,Built Sign-off
dbf76d4b-af0b-42a1-a3cf-eac646d6a206,,checklist-flat,not-started,7d9861ff601138cb78c12fb180aee50582bd1469274842a23eda5ea0fe8d3800,checklist-flat,FALSE,FALSE,Site QA,Slabs & Columns,Level 4,North,Columns,C4,Built Sign-off
8ddc2468-cafd-44a5-b043-acf18c2243a4,,checklist-flat,not-started,7d9861ff601138cb78c12fb180aee50582bd1469274842a23eda5ea0fe8d3800,checklist-flat,FALSE,FALSE,Site QA,Slabs & Columns,Level 4,North,Columns,C5,Built Sign-off
805e751e-ceb8-4a24-8319-21803c92c1cb,,checklist-flat,not-started,7d9861ff601138cb78c12fb180aee50582bd1469274842a23eda5ea0fe8d3800,checklist-flat,FALSE,FALSE,Site QA,Slabs & Columns,Level 4,North,Columns,C6,Built Sign-off
c0002609-f80e-4645-9b8e-68e212489413,,checklist-flat,not-started,7d9861ff601138cb78c12fb180aee50582bd1469274842a23eda5ea0fe8d3800,checklist-flat,FALSE,FALSE,Site QA,Slabs & Columns,Level 5,South,Columns,C9,Built Sign-off
6ddc2343-2fbc-411d-a7b3-c83d64d7ed54,,checklist-flat,not-started,7d9861ff601138cb78c12fb180aee50582bd1469274842a23eda5ea0fe8d3800,checklist-flat,FALSE,FALSE,Site QA,Slabs & Columns,Level 5,South,Columns,C10,Built Sign-off
6ebe3b3c-f552-4130-99c7-4e395b590989,,checklist-flat,not-started,7d9861ff601138cb78c12fb180aee50582bd1469274842a23eda5ea0fe8d3800,checklist-flat,FALSE,FALSE,Site QA,Slabs & Columns,Level 5,South,Columns,C11,Built Sign-off
b176804c-4481-4770-b6bd-5721c4b2ddb6,,checklist-flat,not-started,7d9861ff601138cb78c12fb180aee50582bd1469274842a23eda5ea0fe8d3800,checklist-flat,FALSE,FALSE,Site QA,Slabs & Columns,Level 5,South,Columns,C12,Built Sign-off
