"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"ONSITE - Installation of Facade System"
,"Scope",,
,"Rows"
,,"Area 01 - 1S-04",,"1s-04","site qa","area 01","shop drawing - skp-uqa-002"
,,"Area 01 - 1S-18",,"site qa","area 01","1s-18","shop drawing - skp-uqa-002"
,,"Area 01 - 1S-26",,"1s-26","site qa","area 01","shop drawing - skp-uqa-002"
,,"Area 01 - 1S-27",,"site qa","area 01","shop drawing - skp-uqa-002","1s-27"
,,"Area 01 - 1S-36",,"1s-36","site qa","area 01","shop drawing - skp-uqa-002"
,,"Area 01 - 1S-49a",,"site qa","area 01","shop drawing - skp-uqa-002","1s-49a"
,,"Area 01 - 1S-58",,"1s-58","site qa","area 01","shop drawing - skp-uqa-002"
,,"Area 01 - 1S-66a",,"1s-66a","site qa","area 01","shop drawing - skp-uqa-002"
,,"Area 01 - 1S-62",,"1s-62","site qa","area 01","shop drawing - skp-uqa-002"
,,"Area 01 - 1S-70b",,"1s-70b","site qa","area 01","shop drawing - skp-uqa-003"
,,"Area 02 - 2S-48",,"site qa","shop drawing - skp-uqa-004","area 02","2s-48"
,,"Area 02 - 2S-139",,"site qa","shop drawing - skp-uqa-004","area 02","2s-139"
,,"Area 02 - 2S-30",,"site qa","shop drawing - skp-uqa-004","2s-30","area 02"
,,"Area 02 - 2S-48",,"site qa","shop drawing - skp-uqa-004","area 02","2s-48"
,,"Area 02 - 2S-42",,"site qa","shop drawing - skp-uqa-004","area 02","2s-42"
,,"Area 02 - 2S-31",,"site qa","shop drawing - skp-uqa-004","area 02","2s-31"
,,"Area 02 - 2S-14",,"2s-14","site qa","shop drawing - skp-uqa-004","area 02"
,,"Area 02 - 2S-20",,"site qa","shop drawing - skp-uqa-004","area 02","2s-20"
,,"Area 02 - 2S-09",,"2s-09","site qa","shop drawing - skp-uqa-004","area 02"
,,"Area 02 - 2S-10",,"site qa","shop drawing - skp-uqa-004","area 02","2s-10"
