"Id","Type","Name","Values","Prompting Name","Usage Count","Resource Id"
"009197fb-ff79-4366-b57e-f190bd654631/1","checklist-flat","H&S - Weekly Toolbox Talks","","Week:",1,"d0525ef4-b280-4a4e-9baf-77df2fc03054"
"59213167-c8f2-4d40-8a55-55c79401f49d","checkpoint","Details of the meeting",,,,
"270de89c-e235-5105-93ed-e6659724758f","textbox","Start Time",,,,
"24638776-1f13-5d6f-9b67-6bf8cd5a7fff","textbox","Finish Time",,,,
"c8e80372-aa9c-582d-97ac-a4a4bdd5cfcf","textbox","Attended by",,,,
"1d80e013-cd9e-5ccc-a844-5903aad7de84","textbox","Sent to",,,,
"9d9c5a50-0399-5ac8-99bd-1d316a6b9dca","textbox","Absent",,,,
"3d978e97-eeee-5510-bde3-76d995b30ba1","note","Minutes taken by - Allister",,,,
"de3a8fc0-64d9-5ba8-9431-1c55c34501cb","note","Meeting chaired by - Allister",,,,
"0af55982-9668-4b43-bbe4-9badb27c9bbf","checkpoint","Incidents/Actions",,,,
"7981a730-e397-4487-85cd-dcc184e057b6","checkpoint","Health & Safety",,,,
"b76292d3-60e9-4abe-8bef-ba64947c3bbb","checkpoint","Hazards & Controls",,,,
"450cfd2e-1b7e-5918-adac-3e050b07cae6","note","Please select relevant hazard and control, or list others",,,,
"56044bec-b151-558f-9613-12806e70d071","tickbox","Hazard - EWP",,,,
"f6426bf5-4598-57c4-90bc-ea3647271143","tickbox","Control - Have a spotter; Cordon area off below",,,,
"29e2aa6b-fe85-5cd0-a4b9-45fa2b287093","tickbox","Hazard - Live Power",,,,
"9b616b2f-0550-548d-b1e6-1cd587ae71b0","tickbox","Control - Isolate where possible; Test - (Prove-Test-Prove)",,,,
"791a05cf-5f01-5449-8d1d-e9546afef2ae","tickbox","Hazard - Objects dropping from above",,,,
"5cb3cdb0-7299-5fc9-be9e-e22f2cfea7fa","tickbox","Control - Codon off area; Be aware of works above",,,,
"7164f602-4c60-5c34-b471-d30118818ee6","tickbox","Hazard - Cranes working above",,,,
"ef69b882-4102-5dcb-8db5-c3c8aafe0471","tickbox","Control - Look up; Do not enter lift areas during lifts; Follow Dog-Mens instructions",,,,
"d0da6cc7-1164-57be-aa2d-c02f687b2722","tickbox","Hazard - Noise",,,,
"aef3af71-d815-5e87-ac45-553d4f502494","tickbox","Control - PPE - Earmuffs/Plugs",,,,
"aaa00ee0-a79c-509d-8b6f-302ff3f6665f","tickbox","Hazard - Dust",,,,
"7356fe49-6f30-524b-9a8b-06b7f3490841","tickbox","Control - PPE - Dustmaks/Respirator",,,,
"04a2c7a0-5e35-5d4b-893a-0ee63a88492c","tickbox","Hazard - Trip Hazards",,,,
"ae6dd122-1ad2-5e9b-a244-ed0a9bfb6e8d","tickbox","Control - Be aware; Clean up after yourself; Report",,,,
"8d4e119d-d99b-5933-aaf9-5492de4dd618","textbox","List others:",,,,
"172f6275-68fd-414c-a041-d540d33b9b1f","checkpoint","General Discussion",,,,
"20f0f56c-a25d-4d24-a0fd-6c83e1448cb5","checkpoint","Actions to be taken",,,,
"d9ae6d0a-738d-4e60-ad03-a6ddfc43548d","checkpoint-no-value","Next meeting scheduled for",,,,

"/1","checklist","Photo of Zone","","Photo of Zone",5,"4fda6e85-f4de-40f9-a859-8a5fbd5a633f"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,
,"checkpoint-no-value","Attach photo of zone here",,,,

"/1","checklist","Photos (1 - 30)","","Photos (1 - 30)",1,"9bb66931-2a58-4aca-8970-cfdcc2cf0e92"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,
,"checkpoint","Photo #1 - West Ground Beam Connection",,,,
,"checkpoint","Photo #2 - West Ground Beam - R10 Bar Connection",,,,
,"checkpoint","Photo #3 - North Ground Beam Connection",,,,
,"checkpoint","Photo #4 - North Ground Beam - R10 Bar Connection",,,,
,"checkpoint","Photo #5 - East Ground Beam Connection",,,,
,"checkpoint","Photo #6 - East Ground Beam - R10 Bar Connection",,,,
,"checkpoint","Photo #7 - South Ground Beam Connection",,,,
,"checkpoint","Photo #8 - South Ground Beam - R10 Bar Connection",,,,
,"checkpoint","Photo #9 - Screw Pile 1 - R10 Bar Connection",,,,
,"checkpoint","Photo #10 - Screw Pile 1 Connection",,,,
,"checkpoint","Photo #11 - Screw Pile 2 - R10 Bar Connection",,,,
,"checkpoint","Photo #12 - Screw Pile 2 Connection",,,,
,"checkpoint","Photo #13 - Screw Pile 3 - R10 Bar Connection",,,,
,"checkpoint","Photo #14 - Screw Pile 3 Connection",,,,
,"checkpoint","Photo #15 - Screw Pile 4 - R10 Bar Connection",,,,
,"checkpoint","Photo #16 - Screw Pile 4 Connection",,,,
,"checkpoint","Photo #17 - Screw Pile 5 - R10 Bar Connection",,,,
,"checkpoint","Photo #18 - Screw Pile 5 Connection",,,,
,"checkpoint","Photo #19 - Screw Pile 6 - R10 Bar Connection",,,,
,"checkpoint","Photo #20 - Screw Pile 6 Connection",,,,
,"checkpoint","Photo #21 - Pile Cap - R10 Bar Connection",,,,
,"checkpoint","Photo #22 - Pile Cap Connection",,,,
,"checkpoint","Photo #23 - Rebar Joining Weld 1",,,,
,"checkpoint","Photo #24 - Rebar Joining Weld 2",,,,
,"checkpoint","Photo #25 - Rebar Joining Weld 3",,,,
,"checkpoint","Photo #26 - Rebar Joining Weld 4",,,,
,"checkpoint","Photo #27 - Rebar Joining Weld 5",,,,
,"checkpoint","Photo #28 - Rebar Joining Weld 6",,,,
,"checkpoint","Photo #29 - Rebar Joining Weld 7",,,,
,"checkpoint","Photo #30 - Rebar Joining Weld 8",,,,

"/1","checklist","Photos (31 - 60)","","Photos (31 - 60)",1,"eef131df-53ac-4baa-8b80-d92c20900fc6"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,
,"checkpoint","Photo #31 - West Ground Beam Connection",,,,
,"checkpoint","Photo #32 - West Ground Beam - R10 Bar Connection",,,,
,"checkpoint","Photo #33 - North Ground Beam Connection",,,,
,"checkpoint","Photo #34 - North Ground Beam - R10 Bar Connection",,,,
,"checkpoint","Photo #35 - East Ground Beam Connection",,,,
,"checkpoint","Photo #36 - East Ground Beam - R10 Bar Connection",,,,
,"checkpoint","Photo #37 - South Ground Beam Connection",,,,
,"checkpoint","Photo #38 - South Ground Beam - R10 Bar Connection",,,,
,"checkpoint","Photo #39 - Screw Pile 1 - R10 Bar Connection",,,,
,"checkpoint","Photo #40 - Screw Pile 1 Connection",,,,
