resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,
,step,,,Window QA,,,,,,,,,
,step,,,,Level 34,,,,,,,,
QA - Joinery Checklist,checklist,,,,,DE34.1,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE34.1 ,,,,,,,
,step,,,,Level 33,,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE33.1,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE33.2,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE33.3,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE33.4,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE33.5-1,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE33.5-2,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE33.6,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE33.7,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE33.8,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE33.9,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE33.10,,,,,,,
,step,,,,Level 32,,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE32.1-1,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE32.1-2,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE32.2,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE32.3,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE32.4,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE32.5,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE32.6,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE32.7,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE32.8,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE32.9,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE32.10,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE32.11,,,,,,,
,step,,,,Level 31,,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE31.1,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE31.2,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE31.3,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE31.4,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE31.5,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE31.6,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE31.7,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE31.8,,,,,,,
,step,,,,Level 30,,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE30.1,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE30.2,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE30.3,,,,,,,
QA - Joinery Checklist,checklist,,,,,WE30.4,,,,,,,
