resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,step,,,BUILDING 1,,,,,,,,
,,,step,,,,BASEMENT 01,,,,,,,
Soffit Insulation Checklist,,,checklist,,,,,Soffit,,,,,,
CORRIDOR CHECKLIST,SPEEDPANEL CHECKLIST,HEBEL CHECKLIST,folder-with-checklists,,,,,Corridor,,,,,,
,,,step,,,,BASEMENT 02,,,,,,,
Soffit Insulation Checklist,,,checklist,,,,,Soffit,,,,,,
CORRIDOR CHECKLIST,SPEEDPANEL CHECKLIST,HEBEL CHECKLIST,folder-with-checklists,,,,,Corridor,,,,,,
,,,step,,,,GROUND,,,,,,,
Soffit Insulation Checklist,,,checklist,,,,,Soffit,,,,,,
CORRIDOR CHECKLIST,SPEEDPANEL CHECKLIST,HEBEL CHECKLIST,folder-with-checklists,,,,,GF CORRIDOR,,,,,,
,,,step,,,,,EG.01,,,,,,
Apartment Checklist,Hebel Checklist,,folder-with-checklists,,,,,,Apartment,,,,,
External Wall Checklist,,,checklist,,,,,,External,,,,,
,,,step,,,,,EG.02,,,,,,
Apartment Checklist,Hebel Checklist,,folder-with-checklists,,,,,,Apartment,,,,,
External Wall Checklist,,,checklist,,,,,,External,,,,,
,,,step,,,,,EG.03,,,,,,
Apartment Checklist,Hebel Checklist,,folder-with-checklists,,,,,,Apartment,,,,,
External Wall Checklist,,,checklist,,,,,,External,,,,,
,,,step,,,,,EG.04,,,,,,
Apartment Checklist,Hebel Checklist,,folder-with-checklists,,,,,,Apartment,,,,,
External Wall Checklist,,,checklist,,,,,,External,,,,,
,,,step,,,,,EG.05,,,,,,
Apartment Checklist,Hebel Checklist,,folder-with-checklists,,,,,,Apartment,,,,,
External Wall Checklist,,,checklist,,,,,,External,,,,,
,,,step,,,,,EG.06,,,,,,
Apartment Checklist,Hebel Checklist,,folder-with-checklists,,,,,,Apartment,,,,,
External Wall Checklist,,,checklist,,,,,,External,,,,,
,,,step,,,,,EG.07,,,,,,
Apartment Checklist,Hebel Checklist,,folder-with-checklists,,,,,,Apartment,,,,,
External Wall Checklist,,,checklist,,,,,,External,,,,,
,,,step,,,,,EG.08,,,,,,
Apartment Checklist,Hebel Checklist,,folder-with-checklists,,,,,,Apartment,,,,,
External Wall Checklist,,,checklist,,,,,,External,,,,,
,,,step,,,,,EG.09,,,,,,
Apartment Checklist,Hebel Checklist,,folder-with-checklists,,,,,,Apartment,,,,,
External Wall Checklist,,,checklist,,,,,,External,,,,,
,,,step,,,,L01,,,,,,,
Soffit Insulation Checklist,,,checklist,,,,,Soffit,,,,,,
CORRIDOR CHECKLIST,SPEEDPANEL CHECKLIST,HEBEL CHECKLIST,folder-with-checklists,,,,,GF CORRIDOR,,,,,,
,,,step,,,,,E1.01,,,,,,
Apartment Checklist,Hebel Checklist,,folder-with-checklists,,,,,,Apartment,,,,,
External Wall Checklist,,,checklist,,,,,,External,,,,,
,,,step,,,,,E1.02,,,,,,
Apartment Checklist,Hebel Checklist,,folder-with-checklists,,,,,,Apartment,,,,,
External Wall Checklist,,,checklist,,,,,,External,,,,,
,,,step,,,,,E1.03,,,,,,
Apartment Checklist,Hebel Checklist,,folder-with-checklists,,,,,,Apartment,,,,,
External Wall Checklist,,,checklist,,,,,,External,,,,,
,,,step,,,,,E1.04,,,,,,
Apartment Checklist,Hebel Checklist,,folder-with-checklists,,,,,,Apartment,,,,,
External Wall Checklist,,,checklist,,,,,,External,,,,,
,,,step,,,,,E1.05,,,,,,
Apartment Checklist,Hebel Checklist,,folder-with-checklists,,,,,,Apartment,,,,,
External Wall Checklist,,,checklist,,,,,,External,,,,,
