"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4786889f-17f2-428c-ac7a-33c3f495e1ee","","work-in-progress","","folder","TRUE","FALSE","Level 1 "
"3a4f8e71-528a-4608-a60c-448813b48bb9","","work-in-progress","QA - Balustrades","checklist","FALSE","FALSE","Level 1 ","Type B1 Apt E1.6 "
"db251ffa-9f6e-493f-b089-d9135932a836","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 1 ","Type B1 Apt E1.7 "
"c8f53a51-66c1-4c4d-97a1-b671c5d85fca","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 1 ","Type B1 Apt W1.6"
"3c6335f0-9399-45ef-b17c-0bb5fbac5783","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 1 ","Type B2 Apt E1.5 "
"2870258c-c717-411f-bd48-c791e7bba63b","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 1 ","Type B3 Apt W1.7"
"63c166d2-b00c-4275-b57c-f0967ba9d0eb","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 1 ","Type B4 Apt E1.3"
"0853122e-ed4f-4c6c-b5c1-49c1548774de","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 1 ","Type B5 Apt E1.2"
"836b8ef8-e521-449a-bfd5-9b0360f35b6e","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 1 ","Type B6 Apt E1.1"
"9b48e621-a52b-44e2-a550-72896b0b83a3","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 1 ","Type B7 Apt W1.5"
"f261d51e-d0b8-42d4-9430-b47783128aff","","not-started","","folder","TRUE","FALSE","Level 2 "
"1308726d-ff20-4212-afae-0b44b1a84d3f","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 2 ","Type B4 Apt E2.3"
"ba4a98ba-78fd-4fb6-b93b-f3f333cb0690","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 2 ","Type B5 Apt E2.2 "
"b252b52e-8d22-49f7-b7ec-f1009673c3dd","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 2 ","Type B6 Apt E2.1"
"0c4b3fe5-4694-428b-b9c7-d178c9f68c28","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 2 ","Type B7 Apt W2.5"
"22562107-39c4-4e40-a1f9-d92d9ed075af","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 2 ","Type B8 Apt E2.6"
"d79edd9c-8ace-4cdb-9b02-4942acfe8505","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 2 ","Type B8 Apt E2.7"
"33c6d0cf-9e2d-403c-98dc-e1f31f46e313","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 2 ","Type B8 Apt W2.2"
"098cd4b1-18fb-4a18-8096-21e7e8435fa3","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 2 ","Type B8 Apt W2.6"
"b7250fcf-8e86-4e4d-bbf1-255fb0a64651","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 2 ","Type B9 Apt E2.5"
"1f11236c-89d8-4e75-878a-42dfad18fbe9","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 2 ","Type B9 Apt E3.5"
