type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Commercial/Domestic (Remedials),,,,,,,
section,Details,,,,,,,
checkpoint,Drainage plugs small joint sealed shut,,,,,,,
checkpoint,Louvres removed and plenums fully sealed,,,,,,,
checkpoint,Sash rubbers to be modified and sealed as required,,,,,,,
checkpoint,Sealant to bottom corner mitres,,,,,,,
checkpoint,Sealant to glazing pocket,,,,,,,
,,,,,,,,
checklist,Commercial/Domestic (Remedials - Level 8/WP.01),,,,,,,
section,Details,,,,,,,
checkpoint,Meeting stile seal changed for higher compression,,,,,,,
checkpoint,High performance threshold fitted,,,,,,,
,,,,,,,,
checklist,Commercial/Domestic (Remedials - Level 8/WP.07),,,,,,,
section,Details,,,,,,,
checkpoint,Sealant to bottom corner mitres,,,,,,,
checkpoint,Perimeter frame seal replaced and small joint sealed,,,,,,,
