"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall QA Progress"
,"Scope",,
,"Rows"
,,"Overall QA Progress","grouping","overall qa progress"
,,"Building 1",,"building 1"
,,"Building 2",,"building 2"
,,"Building 3",,"building 3"
,,"Building 4",,"building 4"
,,"Building 5",,"building 5"
,,"Building 6",,"building 6"
,,"House 1",,"house 1"
,,"House 2",,"house 2"
,,"House 3",,"house 3"
,,"House 4",,"house 4"
,,"House 5",,"house 5"
,,"House 6",,"house 6"
,,"House 7",,"house 7"
,,"House 8",,"house 8"
,,"House 9",,"house 9"
,,"House 10",,"house 10"
,,"House 11",,"house 11"
,,"House 12",,"house 12"
,,"House 13",,"house 13"
,,"House 14",,"house 14"
,,"House 15",,"house 15"
,"Columns"
,,"Foundations",,"foundations"
,,"Structure",,"structure"
,,"Interior Fitout",,"interior fitout"
,,"Facade",,"facade"
,,"Roof",,"roof"

"Foundations Progress"
,"Scope",,,"foundations"
,"Rows"
,,"Foundations",,"foundations","site qa"
,"Columns"
,,"Building 1",,"building 1"
,,"Building 2",,"building 2"
,,"Building 3",,"building 3"
,,"Building 4",,"building 4"
,,"Building 5",,"building 5"
,,"Building 6",,"building 6"

"Structure Progress"
,"Scope",,,"structure"
,"Rows"
,,"Structure",,"structure","site qa"
,"Columns"
,,"Building 1",,"building 1"
,,"Building 2",,"building 2"
,,"Building 3",,"building 3"
,,"Building 4",,"building 4"
,,"Building 5",,"building 5"
,,"Building 6",,"building 6"

"Interior Fitout Progress"
,"Scope",,,"interior fitout"
,"Rows"
,,"Interior Fitout",,"interior fitout","site qa"
,"Columns"
,,"House 1",,"house 1"
,,"House 2",,"house 2"
,,"House 3",,"house 3"
,,"House 4",,"house 4"
,,"House 5",,"house 5"
,,"House 6",,"house 6"
,,"House 7",,"house 7"
,,"House 8",,"house 8"
,,"House 9",,"house 9"
,,"House 10",,"house 10"
,,"House 11",,"house 11"
,,"House 12",,"house 12"
,,"House 13",,"house 13"
,,"House 14",,"house 14"
,,"House 15",,"house 15"

"Facade Progress"
,"Scope",,,"facade"
,"Rows"
,,"Facade",,"facade","site qa"
,"Columns"
,,"Building 1",,"building 1"
,,"Building 2",,"building 2"
,,"Building 3",,"building 3"
,,"Building 4",,"building 4"
,,"Building 5",,"building 5"
,,"Building 6",,"building 6"

"Roof Progress"
,"Scope",,,"roof"
,"Rows"
,,"Roof",,"roof","site qa"
,"Columns"
,,"Building 1",,"building 1"
,,"Building 2",,"building 2"
,,"Building 3",,"building 3"
,,"Building 4",,"building 4"
,,"Building 5",,"building 5"
,,"Building 6",,"building 6"

