type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,MHP Prepour Checklist:,,,,,Yes,MHP Prepour Checklist,acb6285c-1be2-4c8b-a7c8-d1da6a023e58
checkpoint-no-status,Building Reference,,,,,,,
text,Building Reference:,,,,,,,
boolean,East Building,,,,,,,
boolean,West Building,,,,,,,
boolean,North Building,,,,,,,
checkpoint-no-status,Stegowrap installation area:,,,,,,,
boolean,Stegowrap,,,,,,,
boolean,Bituthene 3000,,,,,,,
boolean,Preprufe 300R,,,,,,,
checkpoint-status,"Membrane, clean, undamaged and ready for pouring of concrete",,,,,,,
checkpoint-status,"Any services, penetrations or the like",,,,,,,
checkpoint-status,Area handed over to Built Environs,,,,,,,
holdpoint,Signature,,,,,,,
checkpoint-status,Area handed over to Built Environs,,,,,,,
holdpoint,Signature,,,,,,,
checkpoint-no-status,Any other comments,,,,,,,
text,Comments:,,,,,,,
,,,,,,,,
checklist-flat,MHP Substrate Checklist,,,,,Yes,MHP Substrate Checklist,b3e889d3-15e9-4b0e-91ac-bc3fbc190b07
checkpoint-no-status,Building Reference,,,,,,,
text,Building Reference:,,,,,,,
boolean,East Building,,,,,,,
boolean,West Building,,,,,,,
boolean,North Building,,,,,,,
checkpoint-no-status,Product Used:,,,,,,,
boolean,Stegowrap,,,,,,,
boolean,Bituthene 3000,,,,,,,
boolean,Preprufe 300R,,,,,,,
checkpoint-status,Area clear and accessible for installation of product,,,,,,,
checkpoint-status,"Any services, penetrations or the like",,,,,,,
checkpoint-status,Are there any other trades working in the area?,,,,,,,
checkpoint-status,Area handed over to Sansom,,,,,,,
holdpoint,Signature,,,,,,,
checkpoint-status,Area handed over to Sansom,,,,,,,
holdpoint,Signature,,,,,,,
checkpoint-no-status,Any other comments,,,,,,,
text,Comments:,,,,,,,
