Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,,,,
c79515a6-4dc4-50ba-9f68-f2b480f545eb,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Tower 1,Penetrations,Ground Floor,Male Ammenities,Door Headers (Fire rated with Hilti 611A),,,,,,,,
d1493472-a98d-5921-b312-7c0e2ab4b01d,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Tower 1,Penetrations,Ground Floor,Female Ammenities,Door Headers (Fire rated with Hilti 611A),,,,,,,,
28377734-2be7-561d-9f02-57ad5ac4fa74,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Tower 1,Penetrations,Ground Floor,DDA,Door Headers (Fire rated with Hilti 611A),,,,,,,,
50389a4b-39b8-52aa-b7cb-189b4f67e455,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Tower 1,Penetrations,Ground Floor,Lobby DDA,Door Headers (Fire rated with Hilti 611A),,,,,,,,
87ec7652-9f0d-529e-96d2-02d90725c2d3,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Tower 1,Penetrations,Ground Floor,Fitness studio DDA,Door Headers (Fire rated with Hilti 611A),,,,,,,,
00999d19-8fb8-512b-8205-fe9103fef31f,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Tower 1,Penetrations,Level 1,Male Ammenities,Door Headers (Fire rated with Hilti 611A),,,,,,,,
2bf00473-70be-5f9e-be1f-5490c802dd68,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Tower 1,Penetrations,Level 1,Female Ammenties,Door Headers (Fire rated with Hilti 611A),,,,,,,,
2e4ed45d-3073-5760-9370-99e890c1f032,,checkpoint-status,work-in-progress,,,TRUE,TRUE,Site QA,Tower 1,Penetrations,Level 1,DDA,Door Headers (Fire rated with Hilti 611A),,,,,,,,
dac4aa4f-9d39-5f78-9f9f-0d1fdae0ae57,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Tower 1,Penetrations,Level 2,Male Ammenities,Door Headers (Fire rated with Hilti 611A),,,,,,,,
16754454-2d4e-5580-ad33-cacfedf7f1d8,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Tower 1,Penetrations,Level 2,Female Ammenities,Door Headers (Fire rated with Hilti 611A),,,,,,,,
55658cd8-8a73-5180-a891-f735e6699e16,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Tower 1,Penetrations,Level 2,DDA,Door Headers (Fire rated with Hilti 611A),,,,,,,,
11d9fff0-2064-55cf-96c2-40b800e323a6,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Tower 1,Penetrations,Level 3,301,Door Headers (Fire rated with Hilti 611A),,,,,,,,
58821ff8-7818-51fb-9f59-2561b635c6fc,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Tower 1,Penetrations,Level 3,302,Door Headers (Fire rated with Hilti 611A),,,,,,,,
c47cabe5-402b-5b47-aff5-2832142940f4,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Tower 1,Penetrations,Level 3,303,Door Headers (Fire rated with Hilti 611A),,,,,,,,
2e634ab5-6219-56f4-9c2a-ab5f4c39308f,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA,Tower 1,Penetrations,Level 3,304,Door Headers (Fire rated with Hilti 611A),,,,,,,,
