Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-flat,,,checklist,Penetrations,,,,,Yes,Penetrations,20ca1d55-cad5-46cf-aecc-933220a88471
checkpoint-status,,,checkpoint,Slab Penetrations (All slab penetations installed as per Plan),,,,,,,
,,,,,,,,,,,
checklist-flat,,,checklist,Rough In,,,,,Yes,Rough In,47a1a822-9578-43bc-b2ab-87f3394915f6
checkpoint-status,,,checkpoint,DRAIN COMPLETE,,,,,,,
checkpoint-status,,,checkpoint,OVERFLOW EXPOSED AND CHOPPED DOWN,,,,,,,
checkpoint-status,,,checkpoint,UN-USED PENO'S SEALED,,,,,,,
checkpoint-status,,,checkpoint,ROUGH IN COMPLETE,,,,,,,
checkpoint-status,,,checkpoint,HEADER PIPES FIRE CAULKED,,,,,,,
checkpoint-status,,,checkpoint,TMV ACCESSIBLE TO A/P,,,,,,,
checkpoint-status,,,checkpoint,HOT WATER METERS INSTALLED,,,,,,,
checkpoint-status,,,checkpoint,CROSS CONNECTIONS,,,,,,,
checkpoint-status,,,checkpoint,"MIXER STRAIGHT, SET BACK CORRECT",,,,,,,
checkpoint-status,,,checkpoint,WATER PRESSURE TESTED,,,,,,,
checkpoint-status,,,checkpoint,ROLL OVERS COMPLETE AND SECURE,,,,,,,
checkpoint-status,,,checkpoint,APARTMENT CLEAN OF MATERIALS,,,,,,,
checkpoint-status,,,checkpoint,"FW CLEANNED, COVERED AND CLEAR OF DEBRIS",,,,,,,
checkpoint-status,,,checkpoint,AAV REQUIRED?,,,,,,,
checkpoint-status,,,checkpoint,FIXTURE SET OUT CORRECT,,,,,,,
checkpoint-status,,,checkpoint,CLIENT VARIATION CHECKED AGAINST SCHEDULE,,,,,,,
