Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Overall Progress,,,,,,
,Scope,,,,,
,Rows,,,,,
,,Basement,grouping,Basement,,
,,Basement,,Basement,Site QA,
,,Level 1,grouping,Level 1,Site QA,
,,No 1,,No 1,Level 1,Site QA
,,No 2,,No 2,Level 1,Site QA
,,No 3,,No 3,Level 1,Site QA
,,No 4,,No 4,Level 1,Site QA
,,No 5,,No 5,Level 1,Site QA
,,No 6,,No 6,Level 1,Site QA
,,No 7,,No 7,Level 1,Site QA
,,No 8,,No 8,Level 1,Site QA
,,No 9,,No 9,Level 1,Site QA
,,No 10,,No 10,Level 1,Site QA
,,No 11,,No 11,Level 1,Site QA
,,Level 2,grouping,Level 2,,
,,No 13,,No 13,Level 2,Site QA
,,No 14,,No 14,Level 2,Site QA
,,No 15,,No 15,Level 2,Site QA
,,No 16,,No 16,Level 2,Site QA
,,No 17,,No 17,Level 2,Site QA
,,No 18,,No 18,Level 2,Site QA
,,No 19,,No 19,Level 2,Site QA
,,No 20,,No 20,Level 2,Site QA
,,No 21,,No 21,Level 2,Site QA
,,No 22,,No 22,Level 2,Site QA
,,No 23,,No 23,Level 2,Site QA
,,No 24,,No 24,Level 2,Site QA
,,Level 3,grouping,Level 3,,
,,No 25,,No 25,Level 3,Site QA
,,No 26,,No 26,Level 3,Site QA
,,No 27,,No 27,Level 3,Site QA
,,No 28,,No 28,Level 3,Site QA
,,No 29,,No 29,Level 3,Site QA
,,No 30,,No 30,Level 3,Site QA
,,No 31,,No 31,Level 3,Site QA
,,No 32,,No 32,Level 3,Site QA
,,No 33,,No 33,Level 3,Site QA
,,No 34,,No 34,Level 3,Site QA
,,No 35,,No 35,Level 3,Site QA
,,Level 4,grouping,Level 4,,
,,No 36,,No 36,Level 4,Site QA
,,No 37,,No 37,Level 4,Site QA
,,No 38,,No 38,Level 4,Site QA
,,No 39,,No 39,Level 4,Site QA
,,No 40,,No 40,Level 4,Site QA
,,No 41,,No 41,Level 4,Site QA
,,No 42,,No 42,Level 4,Site QA
,,No 43,,No 43,Level 4,Site QA
,,No 44,,No 44,Level 4,Site QA
,,No 45,,No 45,Level 4,Site QA
,,No 46,,No 46,Level 4,Site QA
,Columns,,,,,
,,Area ready for Steel Stud install,,Area ready for Steel Stud install,,
,,Dimensions / locations checked & accurate,,Dimensions / locations checked and accurate,,
,,All Deflection head track installed as per Seismic drawing spec,,All the Deflection head track installed as per Seismic drawings spec,,
,,All Deflection floor track installed as per Seismic drawing spec,,All the Deflection floor track installed as per Seismic drawings spec,,
,,All Deflection stud installed as per Seismic drawings spec,,All the Deflection stud installed as per Seismic drawings spec,,
,,"All frames are square, straight & level",,"All frames are square, straight and level",,
,,Fixings are correct,,Fixings are correct,,
,,Any bracing requirements installed,,Any bracing requirements installed,,
,,Fire rating elements installed as per spec,,Fire rating elements installed as per spec,,
,,Nogs / service nogs installed correctly as per plan,,Nogs / service nogs installed correctly as per plan,,
,,All Steel Stud completed correctly within tolerance in area,,All Steel Stud completed correctly within tolerance in area,,
