"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fc407afe-e1aa-4b17-acaf-457592b840f3","","work-in-progress","","folder","TRUE","FALSE","Basement (B)"
"9381be65-ad66-4a45-ba15-08113bc53fd4","","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","Basement (B)","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"384082bb-c7ed-4db9-8da1-15b2576f60d6","","not-started","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Basement (B)","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)"
"e6d7f8be-d659-4164-a28d-b461178b60ac","","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Basement (B)","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"d125351d-a038-43d6-a24b-a7a231ecedbb","","work-in-progress","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Basement (B)","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"4073227d-e948-4ca7-a05e-74b7edbc6f2c","","work-in-progress","LM-FOR-40-ITR-302.1 Fire Pump Installation (V.171121)","checklist","FALSE","FALSE","Basement (B)","LM-FOR-40-ITR-302.1 Fire Pump Installation (V.171121)"
"5d5b9f12-fb68-4d3c-a803-878ae28151a5","","not-started","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Basement (B)","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)"
"828bab80-4c5e-4b03-8600-50d140991fbc","","not-started","LM-FOR-40-ITR-302.4 Tank Installation (V.171121)","checklist","FALSE","FALSE","Basement (B)","LM-FOR-40-ITR-302.4 Tank Installation (V.171121)"
"f6418238-ef1e-4071-bd2f-81e8a9288de9","","work-in-progress","","folder","TRUE","FALSE","Lower Ground (LG)"
"7be14467-f0e2-434f-8d5f-2037f105b770","","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","Lower Ground (LG)","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"45aa62bf-ccd2-42d7-8762-4dbf15d89c2b","","not-started","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Lower Ground (LG)","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)"
"f5b8fe85-722b-46c1-a1d6-3c51e1015a12","","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Lower Ground (LG)","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)"
"b52c535f-8aed-440e-aee9-3e7f491bbe05","","work-in-progress","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Lower Ground (LG)","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)"
"4fc9e6bb-e620-4c1e-a1bd-37317dfbed4e","","not-started","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Lower Ground (LG)","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)"
"28fd704c-c081-4738-9fd2-1b28db6626e9","","not-started","LM-FOR-40-ITR-302.5 Booster Assembly (V.171121)","checklist","FALSE","FALSE","Lower Ground (LG)","LM-FOR-40-ITR-302.5 Booster Assembly (V.171121)"
"e252be54-3bea-484a-9f05-f3cdc9aa2cdf","","work-in-progress","","folder","TRUE","FALSE","Sprinkler Installation/Fitoff"
"0f861a34-2f2c-4794-b210-124d412d2ad5","","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","Sprinkler Installation/Fitoff","Upper Ground (UG) - LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"8dcd0b57-138f-4a04-9ea8-2952ae90deb8","","pass","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","Sprinkler Installation/Fitoff","L01 - LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"17a940b6-880f-4009-bfef-c3c4512b4289","","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","Sprinkler Installation/Fitoff","Level 02 Carstacker - LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"37c73226-df9a-44f6-8522-22d23d55def9","","pass","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","Sprinkler Installation/Fitoff","L02 - LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"d654cca4-e38d-4716-980b-ecf16b920afc","","pass","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","Sprinkler Installation/Fitoff","L03 - LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"971fdc97-4264-440d-b25b-48549f47c404","","work-in-progress","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","Sprinkler Installation/Fitoff","Level 04 Carstacker - LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"1e17d097-5dd0-4b15-a750-bef89500b802","","pass","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","Sprinkler Installation/Fitoff","L04 - LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
"f61590a2-4ea1-4361-b142-06a853017fc5","","pass","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)","checklist","FALSE","FALSE","Sprinkler Installation/Fitoff","L05 - LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff (V.171121)"
