Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
,,BAF - NBADAIRBDR2-R01 - to Ground FLBs,dynamic,Communications,BAF,Fibre,NBADAIRBDR2-R01,to Ground FLBs,
,,BAF - NBADAIRBDR2-R01 - to Level 2,dynamic,Communications,BAF,Fibre,NBADAIRBDR2-R01,to Level 2,
,,BAF - NBADAIRBDR2-R01 - to Level 3,dynamic,Communications,BAF,Fibre,NBADAIRBDR2-R01,to Level 3,
,,BAF - NBADAIRBDR2-R01 - to Attic,dynamic,Communications,BAF,Fibre,NBADAIRBDR2-R01,to Attic,
,,BAF - NBADAIRBDR2-R01 - to Terminal Plaza,dynamic,Communications,BAF,Fibre,NBADAIRBDR2-R01,to Terminal Plaza,
,,BAF - NBADAIRBDR2-R01 - to CarPark 1-4,dynamic,Communications,BAF,Fibre,NBADAIRBDR2-R01,to CarPark 1-4,
,,BAF - NBADAIRBDR2-R01 - to Airside Apron West,dynamic,Communications,BAF,Fibre,NBADAIRBDR2-R01,to Airside Apron West,
,,BAF - NBADAIRBDR2-R01 - to Airside Apron East,dynamic,Communications,BAF,Fibre,NBADAIRBDR2-R01,to Airside Apron East,
,,BAF - NBADAIRBDR2-R02 - to Basement,dynamic,Communications,BAF,Fibre,NBADAIRBDR2-R02,to Basement,
,,BAF - NBADAIRBDR2-R02 - to Ground,dynamic,Communications,BAF,Fibre,NBADAIRBDR2-R02,to Ground,
,,BAF - NBADAIRBDR2-R02 - to Level 2,dynamic,Communications,BAF,Fibre,NBADAIRBDR2-R02,to Level 2,
,,BAF - NBADAIRBDR2-R02 - to Level 3,dynamic,Communications,BAF,Fibre,NBADAIRBDR2-R02,to Level 3,
,,BAF - NBADAIRBDR2-R03 - to Basement,dynamic,Communications,BAF,Fibre,NBADAIRBDR2-R03,to Basement,
,,BAF - NBADAIRBDR2-R03 - to Ground,dynamic,Communications,BAF,Fibre,NBADAIRBDR2-R03,to Ground,
,,BAF - NBADAIRBDR2-R03 - Level 3,dynamic,Communications,BAF,Fibre,NBADAIRBDR2-R03,Level 3,
,,BAF - NBADAIR2XLCP-H01 - to CarPark 1-4,dynamic,Communications,BAF,Fibre,NBADAIR2XLCP-H01,to CarPark 1-4,
,,BAF - NBADAIR2XLCP-H02 - to CarPark 1-4,dynamic,Communications,BAF,Fibre,NBADAIR2XLCP-H02,to CarPark 1-4,
,,BAF - NBADAIR2XLPL-H01 - to Terminal Plaza,dynamic,Communications,BAF,Fibre,NBADAIR2XLPL-H01,to Terminal Plaza,
,,BAF - NBADAIR2XLPL-H02 - to Terminal Plaza,dynamic,Communications,BAF,Fibre,NBADAIR2XLPL-H02,to Terminal Plaza,
,,BAF - NBADAIRGNDSR-R01 - to Ground,dynamic,Communications,BAF,Fibre,NBADAIRGNDSR-R01,to Ground,
,,BAF - NBADAIRGNDSR-R05 - to Ground,dynamic,Communications,BAF,Fibre,NBADAIRGNDSR-R05,to Ground,
,,TERs - Rack: 7501.06-PPC-00009,dynamic,Communications,TERs,TER 1,Rack: 7501.06-PPC-00009,Fibre,
,,TERs - Rack: 7501.06-PPC-00013,dynamic,Communications,TERs,TER 1,Rack: 7501.06-PPC-00013,Fibre,
,,TERs - Rack: 7502.06-PPC-00010,dynamic,Communications,TERs,TER 2,Rack: 7502.06-PPC-00010,Fibre,
,,TERs - Rack: 7502.06-PPC-00023,dynamic,Communications,TERs,TER 2,Rack: 7502.06-PPC-00023,Fibre,
,Columns,,,,,,,,
,,Cabling not susceptible to mechanical damage,,Cabling is not susceptible to mechanical damage.,Fibre,,,,
,,Cable dressed on cable pathways with velcro,,Cable is dressed on the cable pathways with velcro.,,,,,
,,Apply plastic traffolyte label to each end of cable,,Apply a plastic traffolyte label to each end of the cable.,,,,,
,,Fibre optic reticulates into cabinet correctly & terminated into fobot,,Fibre optic reticulates into cabinet correctly and is terminated into fobot.,,,,,
,,Fobots labelled correctly with traffolyte,,Fobots is labelled correctly with traffolyte.,,,,,
,,,,,,,,,
Communications - Cabinet Install,,,,,,,,,
,Scope,,,Communications,Cabinet ITC,,,,
,Rows,,,,,,,,
,,Terminal - Copper - Basement - BDR2-4B40.16,dynamic,Communications,Terminal,Copper,Basement,BDR2-4B40.16,
,,Terminal - Copper - Basement - FDR-4B42.18,dynamic,Communications,Terminal,Copper,Basement,FDR-4B42.18,
,,Terminal - Copper - Basement - FDR-4B43.06,dynamic,Communications,Terminal,Copper,Basement,FDR-4B43.06,
,,Terminal - Copper - Basement - FDR-4B43.01,dynamic,Communications,Terminal,Copper,Basement,FDR-4B43.01,
,,Terminal - Copper - Basement - BDR1-4B44.01,dynamic,Communications,Terminal,Copper,Basement,BDR1-4B44.01,
,,Terminal - Copper - Basement - FDR-4B44.02,dynamic,Communications,Terminal,Copper,Basement,FDR-4B44.02,
,,Terminal - Copper - Basement - FDR-4B44.03,dynamic,Communications,Terminal,Copper,Basement,FDR-4B44.03,
,,Terminal - Copper - Basement - FDR-4B44.04,dynamic,Communications,Terminal,Copper,Basement,FDR-4B44.04,
,,Terminal - Copper - Basement - FDR-4B44.05,dynamic,Communications,Terminal,Copper,Basement,FDR-4B44.05,
,,Terminal - Copper - L0-Ground - FDR-4044.04,dynamic,Communications,Terminal,Copper,L0-Ground,FDR-4044.04,
,,Terminal - Copper - L0-Ground - FDR-4044.05,dynamic,Communications,Terminal,Copper,L0-Ground,FDR-4044.05,
,,Terminal - Copper - L0-Ground - FDR-4044.07,dynamic,Communications,Terminal,Copper,L0-Ground,FDR-4044.07,
,,Terminal - Copper - L0-Ground - FDR-4044.08,dynamic,Communications,Terminal,Copper,L0-Ground,FDR-4044.08,
,,Terminal - Copper - L0-Ground - FDR-4044.09,dynamic,Communications,Terminal,Copper,L0-Ground,FDR-4044.09,
,,Terminal - Copper - L0-Ground - FDR-4044.14,dynamic,Communications,Terminal,Copper,L0-Ground,FDR-4044.14,
,,Terminal - Copper - L0-Ground - FDR-4044.15,dynamic,Communications,Terminal,Copper,L0-Ground,FDR-4044.15,
,,Terminal - Copper - L0-Ground - FDR-4044.16,dynamic,Communications,Terminal,Copper,L0-Ground,FDR-4044.16,
,,Terminal - Copper - L0-Ground - FDR-4044.17,dynamic,Communications,Terminal,Copper,L0-Ground,FDR-4044.17,
