"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"59821bd1-50aa-44a6-ba32-d310d9c1eb66","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 4","W.4.03"
"00ee88ea-a3ae-4137-9e45-c9b4ea699f98","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 4","W.4.04"
"07a8110e-f5f5-47ad-8b3c-dad1c987915a","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 4","W.4.05"
"35c3246e-7810-4e98-8d0c-3aee3c2915a5","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 4","W.4.06"
"f969b81b-e380-403f-b7ef-87657bc01966","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 4","W.4.07"
"52fa6943-58d3-4325-9fa1-ad4b046ccdb3","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 4","W.4.08"
"e5675ab3-2894-4c19-87b1-9acb54566ba0","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 4","W.4.09"
"c504f69f-7e56-41fd-acd0-38b7a71ae915","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 4","W.4.10"
"6f886b42-56be-4635-823b-6b05dee63197","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 4","W.4.11"
"b2485bf1-02f1-47f3-81b3-eb1aa6254239","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 4","W.4.12"
"af3616a9-97e3-465a-8aea-6e06e63de5ac","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 4","W.4.13"
"77ddf10a-b6a4-4df4-bd3c-a86964307956","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 4","W.4.14"
"32991078-4da4-4084-a8eb-00a92e3e4612","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 4","W.4.15"
"f6b7062f-5943-49f0-b080-cf0bf9933c6e","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 4","W.4.16"
"4bf80174-66b2-46d5-ae0d-b8d72e5bf2ec","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 4","W.4.17"
"21ec878e-71b2-4f05-995e-d21d2b980be4","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 4","W.4.18"
"ac5dd4f7-308a-43a5-a822-07fd9f82d32b","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 4","W.4.19"
"d0aaa1de-15d9-457b-929b-3fbba43c2260","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 4","W.4.20"
"f9589d9d-196c-469e-adb3-3290ecfff67e","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 4","W.4.21"
"fa6164a2-443b-4c34-824f-37beb5e37f91","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 4","W.4.22"
"7227d978-e1b7-427c-abf9-894bf08b6173","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 4","W.4.23"
"e4c1f9b4-fc60-4374-8f5c-733ed4e1826c","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 4","W.4.24"
"813b898d-8395-43b5-94ee-1cd18d8bac4f","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 4","W.4.25"
"63151253-ddfd-4bcf-b7b6-589e77e602f9","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 4","W.4.26"
"8d112514-a84b-4cd3-b305-e22b21c97f5e","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 4","W.4.27"
"810389e9-cef7-4fd5-baf1-8dfaf582af9e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 5"
"a2fd701c-0836-49c7-b086-c4224dc50c63","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 5","W.5.01"
"f46cc297-d482-4592-a833-051a21b337b8","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 5","W.5.02"
"f9f1fbaf-97fa-4478-9829-952647281c47","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 5","W.5.03"
"77749d98-681a-4880-a636-a50261d11c9d","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 5","W.5.04"
"883055f1-5ac1-4ca0-ad11-9ef29aac2e3d","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 5","W.5.05"
"b6f8e685-55a5-4145-b33c-6061eb90205b","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 5","W.5.06"
"0062e7bd-2d9c-4454-b610-b32941140c7a","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 5","W.5.07"
"72faee44-fd9b-43d2-9397-a849308f5074","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 5","W.5.08"
"e9a4a453-37a8-41a6-aa0c-59dedac9d749","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 5","W.5.09"
"3da4191e-7e11-4d18-b136-3ecb744d78d2","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 5","W.5.10"
"d44bd0c3-778b-4922-bef9-f1b497d42d0f","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 5","W.5.11"
"7ec0bab5-fef1-4405-8727-86a74bc6b94d","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 5","W.5.12"
"7f9a967f-5551-4a87-80cb-2d927ee90ac1","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 5","W.5.13"
"da083def-38f7-46dd-8c1e-42d3f27bc1b5","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 5","W.5.14"
"eb43796e-f35b-4560-9c65-ae637c7ad869","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 5","W.5.15"
"31594373-5d3d-4901-9628-03e9748616e0","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 5","W.5.16"
"1e4a91b4-ed19-4bc7-ab65-a9688420d668","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 5","W.5.17"
"1cc3738f-e098-4471-bfaf-1d05e30c75d1","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 5","W.5.18"
"b0097431-4dda-4cf6-87a6-e6f7704e54d2","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 5","W.5.19"
"55822e0f-33fc-46e1-a1b9-5ff9be65cf8b","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 5","W.5.20"
"d7b28729-437b-4868-ad81-c295bdbd579c","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 5","W.5.21"
"333e15d4-b3af-4e78-8769-97664e1493c0","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 5","W.5.22"
"4927d43d-4c8d-4e3c-92d5-8aef4ff58e5d","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 5","W.5.23"
"3e1a9fc1-9b1b-461e-963b-a011f6025e59","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 5","W.5.24"
"25d84425-99ce-4ae3-9319-02ac5d353c48","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 6"
"7071f45b-9502-40ab-b3ae-ce8fedab778c","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 6","W.6.01"
"52e0adfd-be06-4cac-9844-6da98bdcd44e","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 6","W.6.02"
"e38abfd2-9224-4dfc-ab09-f2ddabf4baac","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 6","W.6.03"
"112351ec-ec4c-4507-9b02-27b81b43d764","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 6","W.6.04"
"b1075768-4c04-49ef-a75c-687d40bc0132","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 6","W.6.05"
"5819823c-d676-4be7-9954-8f08b5328690","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 6","W.6.06"
"3a39704f-198b-4df4-b5b5-9ce70ee1d0e6","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 6","W.6.07"
"0dd36d2a-5e76-4125-a7b4-393787100cd7","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 6","W.6.08"
"17948638-9909-4798-952f-e9e6c8b9e026","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 6","W.6.09"
"95e68e52-a111-47d4-9a7d-f09f8d6c2664","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 6","W.6.10"
"d0e44cbf-c43e-4ee6-bb97-71702536dc5f","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 6","W.6.11"
"f719d5af-7b14-4947-9612-b5640101331f","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 6","W.6.12"
"f438395f-e4a7-4619-a7b4-11d26ed50369","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 6","W.6.13"
"f6632b5f-378c-4178-9992-ce5075a4fea2","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 6","W.6.14"
"949e7d05-8904-438c-8fe0-a10f4784be94","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 6","W.6.15"
"93ce0e74-91c1-479e-9079-80c6d7987ed5","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 6","W.6.16"
"7f1d5f2a-a111-43c6-99b8-5397fcc82c6d","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 6","W.6.17"
