"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fc230ee7-9545-4be8-b360-a1a337cfcc70","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"81087b26-ef7d-4218-815e-6bcdae071ab4","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","B5"
"3ce1967c-a6fa-45d0-984b-65fa861486d5","","checklist-flat","work-in-progress","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","B5","Corridor"
"aa367126-ec02-4d83-a030-1c8962d45b44","","checklist-flat","pass","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","B5","Store Rooms"
"160b194f-d726-459b-8ec3-e641c7370886","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","B4"
"bc92f409-b0d8-49b1-81c5-1c20789d44f5","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","B4","Corridor"
"bc159318-1694-4b35-8c9f-7bcf166376b4","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","B4","Store Rooms"
"dac5e2a9-d641-445e-ac1c-2679144f9e07","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","B3"
"f7077a91-bd41-4a7c-9f5e-e533e9be068f","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","B3","Corridor"
"1baee303-b702-4e36-89b7-0d57d052bacc","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","B3","Store Rooms"
"cdaa33a0-187b-4a0b-8b66-0fc87883d062","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","B3","Pump Room"
"893f5ffb-2131-4f0c-bfa3-6b0ab3d1bd62","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","B2"
"c0a7e63e-9d18-4760-b376-7c56cbb7bd45","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","B2","Corridor Store Rooms"
"0dcb9255-924c-4685-bab3-31d033fe413b","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","B2","Retail Waste Room"
"693cce48-cdb2-4521-ab55-6a35db91d350","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","B2","Commercial Waste Ro"
"8d07f60f-16b2-494e-9378-157213341d84","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","B1"
"51b30422-f3a4-43e4-a405-c24ec7f4d895","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","B1","EOT Plant Room DAS Room"
