"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a6532d80-f7d5-4446-8f81-ada97f5061a6","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"467c713a-a2cb-48f0-913c-812f9b7492f0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Structure","West Tower","Footings - Shotcrete"
"f3032d19-3003-435e-94d3-783c3de65340","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Structure","West Tower","Slab on Ground"
"866eace6-9653-4b29-9532-8a4ccea5bbe2","","checklist-sectioned","not-started","Capping Beam (V140421)","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Slab on Ground","Capping Beams"
"0e84459d-aa3f-4893-8889-7165af305716","","checklist-flat","not-started","Bulk Excavation","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Slab on Ground","Bulk Excavation"
"c2392e0c-c072-4ff5-a9e4-51b88dd61e87","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Structure","West Tower","Basement 1"
"a4e61d8f-ab14-462e-887b-8f9d7e51c4e7","","checklist-flat","not-started","Detailed Excavations","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Basement 1","Detailed Excavation"
"beab532a-3084-4863-b493-6899bc33e6de","","checklist-sectioned","not-started","Formwork & Reinforcing","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Basement 1","Formwork & Reinforcing"
"3cff5758-d2f2-45f9-84b8-a68119c4d2f9","","checklist-sectioned","not-started","Pad Footings, Strip Footings, Lift Pits & Piles (V140421)","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Basement 1","Lift Pit"
"246759dd-0de7-4d5b-b45d-900e75d523d2","","checklist-flat","not-started","Pad Footings","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Basement 1","Pad footings"
"363137f6-f15f-4a32-ac06-147f342af649","","checklist-sectioned","not-started","Pad Footings, Strip Footings, Lift Pits & Piles (V140421)","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Basement 1","Strip footings"
"8bd320e5-dac2-40fb-9687-ecb3818f2362","","checklist-flat","not-started","Ground Beams","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Basement 1","Ground Beams"
"c6fcffa4-f7c9-4cb7-895c-7fd21c794e4f","","checklist-flat","not-started","Pad Footings","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Basement 1","Pad footings"
"b42c64fc-5af7-45a1-bfc9-a606eb0c363a","","checklist-sectioned","not-started","SOG","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Basement 1","SOG"
"e4397100-615d-4e06-b091-df2ee830a0ea","","checklist-sectioned","not-started","Columns","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Basement 1","Columns"
"6b9e27ff-62d9-4308-abcd-39d026f8c285","","checklist-sectioned","not-started","Hydraulic Groundwork","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Basement 1","Hydraulic Groundwork"
"d429726d-db4e-4b64-96f0-2626399ed382","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Structure","West Tower","Ground"
"4406cc13-2a44-4b59-8282-e7e6df5cb49c","","checklist-sectioned","not-started","Precast","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Ground","Precast"
