"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3ed4ed91-0838-4cb2-a7f4-29482712ce54","","not-started","","folder","TRUE","FALSE","Cable Drum Visual Inspection Folder"
"b2eb7cba-40a3-4a5f-861f-b66f5407c7d3","","not-started","Cable Drum Visual Inspection Checklist","checklist","FALSE","FALSE","Cable Drum Visual Inspection Folder","Cable Drum Visual Inspection Checklist 1"
"fefd02c0-42da-4e64-aa5e-8e71c459ffa4","","not-started","Cable Drum Visual Inspection Checklist","checklist","FALSE","FALSE","Cable Drum Visual Inspection Folder","Cable Drum Visual Inspection Checklist 2"
"f8f59c36-8bf0-4760-8f7b-b4a014e0a8fd","","not-started","","folder","TRUE","FALSE","Pulling Equipment Inspection Folder"
"69c2865b-96f1-4f18-9177-7798039fa868","","not-started","Pulling Equipment Inspection Checklist","checklist","FALSE","FALSE","Pulling Equipment Inspection Folder","Pulling Equipment Inspection Checklist"
"b17b7436-86ed-4437-aa9e-a1b3d9ada40b","","not-started","","folder","TRUE","FALSE","Cable Pulling Record Folder"
"a2130c66-9d8b-49cc-bfc7-a8e491f1b726","","not-started","Cable Pulling Record Checklist","checklist","FALSE","FALSE","Cable Pulling Record Folder","Cable Pulling Record Sheet"
"cef56901-5f04-49e2-ab6a-72bec10406da","","not-started","Cable Pulling Record Checklist","checklist","FALSE","FALSE","Cable Pulling Record Folder","Cable Pulling Record Sheet"
"bf36b4f7-1514-4b99-b224-77d209f4ce01","","not-started","","folder","TRUE","FALSE","Cable Test Results Folder"
"348b2ff1-51f2-4de3-b220-36c8d9703680","","not-started","5564d67e057233c52879691cdc41de395cd32173fa0c2eec36643a16af4623b2","checklist","FALSE","FALSE","Cable Test Results Folder","IR Testing For Three Core Cables Checklist"
"962b7cdf-0f0f-49b2-a5ea-5ba46a792419","","not-started","d57ea91c933e2efda7494474b92d0812c3c84da355ffe8ba31f681c5144bb1d8","checklist","FALSE","FALSE","Cable Test Results Folder","Screen Continuity Checklist"
"d66aa147-4081-4648-a06f-b57d4177dfcf","","not-started","7cd6425ce61cf87ab7218a64c10d574502ed5633ba1590f97c27123b65a3fd89","checklist","FALSE","FALSE","Cable Test Results Folder","Sheath Testing Checklist"
"c12a8ec1-397d-4185-b962-ed4b6c09d029","","not-started","","folder","TRUE","FALSE","Project Photos"
"ce5287d0-b330-4875-a758-4f0a13c07bdb","","not-started","Photos","checklist","FALSE","FALSE","Project Photos","Photos"
