"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e5b76d25-e371-5c1c-b259-d7ec2834e568","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","304","Roll overs complete and secure"
"3ac393a7-f2a0-53c7-b21e-15548745845e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","304","Apartment clean of materials"
"d11ece09-3fd6-549d-b28f-f3c7ec61d8a3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","304","D/p clipped"
"c61ab9ef-c2d2-5cfd-a462-b649b9bc0607","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","304","Fw cleanned, covered and clear of debris"
"193e3059-234c-5c43-8dd0-5a452a79131c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","304","Fixture set out correct"
"89bbc2cf-5772-562e-a67a-23f3e9e3fad5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","304","Client variation checked against schedule"
"9000aaa2-69b8-4fde-ba58-a56638a2b0dc","","checklist-flat","not-started","Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 3","305"
"cde8afa7-f646-5dbb-af57-11efd64da2bb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","305","Drain complete"
"383a7eb0-6883-5607-97ab-3242a4286236","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","305","Lagging complete"
"383e4e72-0bb7-5a6f-b75a-ac37be63d7d8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","305","Downpipe on"
"7a5940d2-599e-5898-a426-b8d31ec19704","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","305","Overflow exposed and chopped down"
"1e359243-7c7d-5fe0-bdb8-25922087f91b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","305","Un-used peno's sealed"
"c3c79594-5de4-5923-8ffe-b061138c8fd8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","305","Rough in complete"
"e3769560-762c-5fa9-9475-71785e28f9db","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","305","Header pipes fire caulked"
"2c4777ae-1841-5378-aee8-9ec647facdfa","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","305","Tmv accessible to a/p"
"0b9f650b-efb3-5954-8270-bf61a79c589d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","305","Hot water meters installed"
"7dec99cc-0de5-5a0a-932c-894cd7519a8e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","305","Cross connections"
"3ad4fe4a-6d06-512a-8a49-5e1c5640d73f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","305","Mixer straight, set back correct"
"04e6e1bb-9ed8-53d1-aa8a-ed86d186315b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","305","Water pressure tested"
"a818b951-8182-5e65-ab79-c6be205efc81","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","305","Roll overs complete and secure"
"e22f3323-5701-5b52-955d-72d04ff6902f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","305","Apartment clean of materials"
"67b13676-4cab-59db-a658-2a99d6e71743","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","305","D/p clipped"
"e1a80f20-8acc-532c-87c6-fa839bd0b982","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","305","Fw cleanned, covered and clear of debris"
"5550aa73-2f1a-544e-91e7-6677f617984b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","305","Fixture set out correct"
"12af6d9f-c4d8-530e-af5e-14b84df5728f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","305","Client variation checked against schedule"
"a691dbf7-0ef7-4b76-9049-5818e890ad10","","checklist-flat","not-started","Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 3","306"
"0f656996-866b-527b-a5e1-6f719bd921a5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","306","Drain complete"
"11749aef-6d03-595b-b37f-b1eeb303da48","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","306","Lagging complete"
"8bacd660-8b0e-59d7-823a-2d1b0e19391b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","306","Downpipe on"
"cc311608-abcf-5966-be17-71fc44191ec9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","306","Overflow exposed and chopped down"
"2f207754-f9b8-5cc8-8b81-cb0fa44de150","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","306","Un-used peno's sealed"
"d33d2023-7d72-56d0-9073-c8178e87c12d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","306","Rough in complete"
"a1ba8272-14f6-58a0-86b2-354e9e703e9b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","306","Header pipes fire caulked"
"5e09c89f-2b60-5e79-8f61-b1d95c6be15d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","306","Tmv accessible to a/p"
"2d4213ba-3b7a-53f3-981d-df813abc7067","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","306","Hot water meters installed"
"295486e2-7e3b-5a94-a75e-523a3cc908c9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","306","Cross connections"
"37ccd4b5-71d8-5e7e-9595-cec5506ea9f7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","306","Mixer straight, set back correct"
"6498d003-fa00-58af-92ce-9f27f161cd1f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","306","Water pressure tested"
"92bc71d9-1506-519a-bf1a-6caae47489ff","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","306","Roll overs complete and secure"
"d8f66f9c-aa04-57fd-ad87-6953596eff67","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","306","Apartment clean of materials"
"5ee51ae1-341a-5506-8e4a-78cd724087d0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","306","D/p clipped"
"9ce61595-1d82-584e-bc1a-faafbbd00f40","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","306","Fw cleanned, covered and clear of debris"
"479e4dc3-a4f0-5ea1-a7dd-f04d3962c4f5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","306","Fixture set out correct"
"247bb4df-b5fc-5d30-a369-d1e3133fbb66","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","306","Client variation checked against schedule"
"c795ece7-369e-42c7-9ad4-89d61de1d870","","checklist-flat","not-started","Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 3","307"
"ce630473-08fe-5bb9-9bf1-8bb5d95c0e55","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","307","Drain complete"
"b12daad1-4ae4-5d62-b1cb-4f1de9351d94","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","307","Lagging complete"
"39b111d9-c28e-564e-93fa-ee401799799e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","307","Downpipe on"
"73998799-5ba3-5699-b5a7-1f9b0c107315","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","307","Overflow exposed and chopped down"
"271b76e9-da67-5d49-825e-a2a8cf40bbab","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","307","Un-used peno's sealed"
"b7a2cbaa-451e-5965-8e30-89595cab8fb6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","307","Rough in complete"
"c05863b0-8235-5f09-a416-e13c04e1db84","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","307","Header pipes fire caulked"
"9f997fce-58bb-5312-9aa1-da8264503d80","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","307","Tmv accessible to a/p"
"3d538ce4-ff44-50ea-afbb-b5b276e881a9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","307","Hot water meters installed"
"13cf4538-0991-59aa-83af-e76dfc0698c0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","307","Cross connections"
"7f5cdd0c-2b1c-5aa6-af86-56c545417183","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","307","Mixer straight, set back correct"
"2cf7f6ec-ceaf-5ac0-a120-f8e353a37ef9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","307","Water pressure tested"
"923f0349-c29a-5349-8c7b-60e50d910328","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","307","Roll overs complete and secure"
"23ae351a-e6c2-5b0f-9bc1-959dd7dee4da","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","307","Apartment clean of materials"
"ddf256ec-2588-526a-a4a8-496b57f3ab0a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","307","D/p clipped"
"06b15b83-46ec-58c7-8355-3e393c0c15a1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","307","Fw cleanned, covered and clear of debris"
"33e44fbc-f297-59aa-8f43-fafa7eb6b935","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","307","Fixture set out correct"
"e9a2ff58-650d-51e7-a624-d2cebaedfef1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","307","Client variation checked against schedule"
"ac70ca01-0579-4cfa-809c-0aca8130da9b","","checklist-flat","not-started","Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 3","308"
"cda09197-9c90-5fe2-8217-a5718a9cece6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","308","Drain complete"
"55ce8978-9ff4-550f-9020-b9555fc0eb8f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","308","Lagging complete"
"cac25f52-1b68-5c22-bec7-df0c9eddd40e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","308","Downpipe on"
"d56850e7-5c22-5730-8767-f3af4fb9198d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","308","Overflow exposed and chopped down"
"7cd7a03b-55e1-5610-8cd2-918992b56fdf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","308","Un-used peno's sealed"
"98d41d34-d726-583b-b59f-3452edf66e21","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","308","Rough in complete"
"168d2280-00e9-5a5c-94a2-271163ac1308","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","308","Header pipes fire caulked"
"a59b17da-cd3b-5038-9cb6-f87f49aa80fe","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","308","Tmv accessible to a/p"
"ea87f597-0629-50cd-b7e6-ff9b5fa02ee4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","308","Hot water meters installed"
"673d10bd-1031-5eb1-8b7a-8d768121f1a6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","308","Cross connections"
"56145f69-618e-5876-a692-cfc794461c6f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","308","Mixer straight, set back correct"
"9f81c9e8-d26b-573a-9a11-e03b9298fd2d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","308","Water pressure tested"
"be987478-0c7d-56ab-9b44-2d4d68555dd7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","308","Roll overs complete and secure"
"5762602a-4ad1-5a71-b033-cd1faa020c9b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","308","Apartment clean of materials"
"8435af48-c994-5c04-99fb-47ec5caa1182","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","308","D/p clipped"
"fdf67f6c-eea0-5669-9b74-239d3a0e9332","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","308","Fw cleanned, covered and clear of debris"
"1053d004-271e-5e26-aa18-931bf46f326e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","308","Fixture set out correct"
"53a1eb53-bee7-51b6-a15c-842105a5ec8d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","308","Client variation checked against schedule"
"bbe1ceed-6594-4ef7-bc27-9d806aa75086","","checklist-flat","not-started","Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 3","309"
"8dcbefff-12d2-5370-a188-5e761b1e2957","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","309","Drain complete"
"e108052a-aa44-5e56-89e4-07b4ab931f23","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","309","Lagging complete"
"507c5445-cb13-5e3d-a2f2-9a9654231d7c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","309","Downpipe on"
"f78ee8d6-f2b3-538b-8816-0f10ad031821","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","309","Overflow exposed and chopped down"
"5d8f160a-e14b-5647-8a9d-2fe617af2157","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","309","Un-used peno's sealed"
"b8bcc33a-de8c-5e1c-9690-d8dc1a349307","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","309","Rough in complete"
"78d01119-ea05-5c53-96c1-376f8c761865","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","309","Header pipes fire caulked"
"7f10ba9e-18a6-5e8f-b41e-31cf441c34c2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","309","Tmv accessible to a/p"
"942b09a7-3be4-595d-9aee-ee29d3e9c9c1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","309","Hot water meters installed"
"70d82903-0e75-5dbf-b0ed-f3bee27d0622","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","309","Cross connections"
"11dacedf-eb4d-5a2d-9f06-e0e8954789d4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","309","Mixer straight, set back correct"
"a5c693d9-efac-5522-a7d9-0fa72dc7d5f4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","309","Water pressure tested"
"9d84521f-5b0d-5b6a-b831-5d9c0138f907","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","309","Roll overs complete and secure"
"19daac56-0b02-5892-8be3-4bb3d7938ead","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","309","Apartment clean of materials"
"6c8ae78d-2401-56b1-b472-dcea00ea5356","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","309","D/p clipped"
"d21a6b5b-e027-55e3-9e09-e2eacecabb79","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","309","Fw cleanned, covered and clear of debris"
"d484c291-1b09-57bd-9ca8-74248a8aaf91","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","309","Fixture set out correct"
"840b2eda-d340-5c84-8b8e-ed6d13ace14d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","309","Client variation checked against schedule"
"87f32860-a24f-4e2e-88da-13de26f326d1","","checklist-flat","not-started","Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 3","310"
"b30df711-0e7c-5a31-922e-d6b4cc9f9b0b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","310","Drain complete"
"d5f629af-59fd-51a4-8628-7bd44a203aa4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","310","Lagging complete"
"4236d1ab-c15d-5362-99d3-771a321541ae","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","310","Downpipe on"
"639cfce5-1114-53e1-965b-353d35c6e2bc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","310","Overflow exposed and chopped down"
"4c40bd66-569b-5e06-ae6f-82dad9a6df62","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","310","Un-used peno's sealed"
"811c779c-d881-5f56-9e11-0b6d26fab90e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","310","Rough in complete"
"e1d75dab-6d70-56cc-8014-e9c0e55fdd30","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","310","Header pipes fire caulked"
"b09e3f81-1540-5e30-8922-9a1e1056c722","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","310","Tmv accessible to a/p"
"b68375db-5836-58ce-9fbd-8911da2b2f68","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","310","Hot water meters installed"
"18f20043-84eb-50dc-8d67-cdbb2e881516","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","310","Cross connections"
"c2fb6d63-2e7d-589e-8faa-dc7f1a2e9951","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","310","Mixer straight, set back correct"
"296a60be-1826-53b4-91e4-ce5290688962","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Level 3","310","Water pressure tested"
