Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,Site QA,
,Rows,,,,
,,Entry Door,dynamic,Entry Door,Site QA
,,Garage,dynamic,Garage,Site QA
,,Laundry,dynamic,Laundry,Site QA
,,Formal Living,dynamic,Formal Living,Site QA
,,Living,dynamic,Living,Site QA
,,Dining,dynamic,Dining,Site QA
,,Kitchen,dynamic,Kitchen,Site QA
,,Main Bedroom,dynamic,Main Bedroom,Site QA
,,Ensuite,dynamic,Ensuite,Site QA
,,Stairs,dynamic,Stairs,Site QA
,,Bedroom 2,dynamic,Bedroom 2,Site QA
,,Bathroom,dynamic,Bathroom,Site QA
,,Bedroom 3,dynamic,Bedroom 3,Site QA
,,Bedroom 1,dynamic,Bedroom 1,Site QA
,Columns,,,,
,,No missing glass,,No missing glass,
,,"Beads, Frame & Backing Wedge",,"Beads, Frame and Backing Wedge completed",
,,Blocks installed,,Blocks installed,
,,Hardware reinstated as per specs.,,Hardware reinstated as per specifications,
,,Glass has sufficient cover/Spacer bar aligned with frame,,Glass has sufficient cover/ Spacer bar aligned with frame,
,,Wedge size sufficient & installed,,Wedge size sufficient and installed correctly,
,,No breakages or defects,,No breakages or defects,
,,Trade Clean complete,,Trade Clean complete,
