"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"08c2b4ba-10c7-4a63-81a8-286eb95e4436","","folder-normal","work-in-progress","","step","TRUE","FALSE","Base"
"0187004c-4145-438e-8077-0563153cbb88","","checklist-flat","pass","Z - Tanking Voltex (OLD VERSION)","checklist-flat","FALSE","FALSE","Base","Voltex - Area:Pit 2"
"3f2e7fb5-29c8-4c17-b1d5-cc1705934417","","checklist-flat","pass","QA - Tanking Voltex","checklist-flat","FALSE","FALSE","Base","Voltex - Area:Pit 10"
"dd736e1c-e74d-4d96-bd28-89c49dc83329","","checklist-flat","pass","QA - Tanking Voltex","checklist-flat","FALSE","FALSE","Base","Voltex - Area:Pit 9"
"0697a4a4-29c9-4f78-947c-a5dbfa34c41a","","checklist-flat","pass","QA - Tanking Voltex","checklist-flat","FALSE","FALSE","Base","Voltex - Area:Pit 3"
"ddef54e3-9545-45b6-819f-42b618873072","","checklist-flat","not-started","QA - Tanking Voltex","checklist-flat","FALSE","FALSE","Base","Voltex - Area:Pit 6"
"a8ce8988-5759-469c-89e6-968fdbca1caf","","checklist-flat","not-started","QA - Tanking Voltex","checklist-flat","FALSE","FALSE","Base","Voltex - Area:Pit 5"
"cd896d28-a6c7-4242-98aa-2a9d4257c28b","","checklist-flat","work-in-progress","QA - Tanking Voltex","checklist-flat","FALSE","FALSE","Base","Voltex - Area:Pit 4"
"b0221389-37d2-4a17-ad8c-78f9cc259ad3","","checklist-flat","not-started","QA - Tanking Voltex","checklist-flat","FALSE","FALSE","Base","Voltex - Area:Pit 11"
"9098266d-61fd-46cd-81f1-6ecb488f169d","","checklist-flat","not-started","QA - Tanking Voltex","checklist-flat","FALSE","FALSE","Base","Voltex - Area:Pit 7"
"be285b33-0541-4057-97cd-867901bbc982","","checklist-flat","not-started","QA - Tanking Voltex","checklist-flat","FALSE","FALSE","Base","Voltex - Area:Pit 8"
"6019c1ff-f479-4aec-8c82-75ddb7f9488d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Walls"
"5f4583c9-31da-49bb-8dcb-981efab1083a","","checklist-flat","work-in-progress","QA - Tanking Voltex","checklist-flat","FALSE","FALSE","Walls","Voltex - Area: Pit 2"
"0b2b9f41-784e-4710-8c12-d70a96d3756d","","folder-normal","not-started","","step","TRUE","FALSE","Variation"
"7c630ed4-5ddd-43d2-a126-94d1a6fdd0e9","","checklist-flat","not-started","QA - Tanking Voltex","checklist-flat","FALSE","FALSE","Variation","Voltex - Area: Pit 3"
