"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"996f38c9-5bfe-41d4-9075-23023b5cd3ee","","no-status-not-started","","folder","TRUE","FALSE","Manufacturing QA"
"1c726d2f-d90d-476b-ac59-7a75f8ecbcca","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"c2bfc02c-f8fd-4416-8cb9-7c4968c27caf","","work-in-progress","Site QA","checklist","FALSE","FALSE","Site QA","preliminary main drawings"
"24c6ea57-b313-4e2f-aacc-2571ea90c41d","","work-in-progress","Site QA","checklist","FALSE","FALSE","Site QA","Preliminary Shop drawings"
