type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,HOBEC Fit Out L2 First Fix,,,,,,,
section,FCU L2-KL-2.02,,,,,,,
checkpoint,Indoor hung Level and with Seismic and anti vibration mounts ,,,,,,,
checkpoint,Pipe work installed and insulated as per plans to Main pipe run ,,,,,,,
checkpoint,Valves installed as per plans,,,,,,,
checkpoint,Drain pipe installed and tested as per ABC,,,,,,,
checkpoint,Plenums installed,,,,,,,
checkpoint,Ducting installed,,,,,,,
checkpoint,Grille boots installed,,,,,,,
checkpoint,"Electrical wires run to fan, heater and coms and wired up ",,,,,,,
section,FCU L20WS1-2.03,,,,,,,
checkpoint,Indoor hung Level and with Seismic and anti vibration mounts ,,,,,,,
checkpoint,Pipe work installed and insulated as per plans to Main pipe run ,,,,,,,
checkpoint,Valves installed as per plans,,,,,,,
checkpoint,Drain pipe installed and tested as per ABC,,,,,,,
checkpoint,Plenums installed,,,,,,,
checkpoint,Ducting installed,,,,,,,
checkpoint,Grille boots installed,,,,,,,
checkpoint,"Electrical wires run to fan, heater and coms and wired up ",,,,,,,
section,FCU L2-R2.01,,,,,,,
checkpoint,Indoor hung Level and with Seismic and anti vibration mounts ,,,,,,,
checkpoint,Pipe work installed and insulated as per plans to Main pipe run ,,,,,,,
checkpoint,Valves installed as per plans,,,,,,,
checkpoint,Drain pipe installed and tested as per ABC,,,,,,,
checkpoint,Plenums installed,,,,,,,
checkpoint,Ducting installed,,,,,,,
checkpoint,Grille boots installed,,,,,,,
checkpoint,"Electrical wires run to fan, heater and coms and wired up ",,,,,,,
section,FCU L2-M6-2.05,,,,,,,
checkpoint,Indoor hung Level and with Seismic and anti vibration mounts ,,,,,,,
checkpoint,Pipe work installed and insulated as per plans to Main pipe run ,,,,,,,
checkpoint,Valves installed as per plans,,,,,,,
checkpoint,Drain pipe installed and tested as per ABC,,,,,,,
checkpoint,Plenums installed,,,,,,,
checkpoint,Ducting installed,,,,,,,
checkpoint,Grille boots installed,,,,,,,
checkpoint,"Electrical wires run to fan, heater and coms and wired up ",,,,,,,
section,FCU L2-M3-2.09,,,,,,,
checkpoint,Indoor hung Level and with Seismic and anti vibration mounts ,,,,,,,
checkpoint,Pipe work installed and insulated as per plans to Main pipe run ,,,,,,,
checkpoint,Valves installed as per plans,,,,,,,
checkpoint,Drain pipe installed and tested as per ABC,,,,,,,
checkpoint,Plenums installed,,,,,,,
checkpoint,Ducting installed,,,,,,,
checkpoint,Grille boots installed,,,,,,,
checkpoint,"Electrical wires run to fan, heater and coms and wired up ",,,,,,,
section,FCU L2-M5-2.17,,,,,,,
checkpoint,Indoor hung Level and with Seismic and anti vibration mounts ,,,,,,,
checkpoint,Pipe work installed and insulated as per plans to Main pipe run ,,,,,,,
checkpoint,Valves installed as per plans,,,,,,,
checkpoint,Drain pipe installed and tested as per ABC,,,,,,,
checkpoint,Plenums installed,,,,,,,
checkpoint,Ducting installed,,,,,,,
checkpoint,Grille boots installed,,,,,,,
checkpoint,"Electrical wires run to fan, heater and coms and wired up ",,,,,,,
section,FCU L2-M6-2.15,,,,,,,
checkpoint,Indoor hung Level and with Seismic and anti vibration mounts ,,,,,,,
checkpoint,Pipe work installed and insulated as per plans to Main pipe run ,,,,,,,
checkpoint,Valves installed as per plans,,,,,,,
checkpoint,Drain pipe installed and tested as per ABC,,,,,,,
checkpoint,Plenums installed,,,,,,,
checkpoint,Ducting installed,,,,,,,
checkpoint,Grille boots installed,,,,,,,
checkpoint,"Electrical wires run to fan, heater and coms and wired up ",,,,,,,
section,FCU L2-BR1-2.19,,,,,,,
checkpoint,Indoor hung Level and with Seismic and anti vibration mounts ,,,,,,,
checkpoint,Pipe work installed and insulated as per plans to Main pipe run ,,,,,,,
checkpoint,Valves installed as per plans,,,,,,,
checkpoint,Drain pipe installed and tested as per ABC,,,,,,,
checkpoint,Plenums installed,,,,,,,
checkpoint,Ducting installed,,,,,,,
checkpoint,Grille boots installed,,,,,,,
checkpoint,"Electrical wires run to fan, heater and coms and wired up ",,,,,,,
section,FCU L2-CM32.21,,,,,,,
checkpoint,Indoor hung Level and with Seismic and anti vibration mounts ,,,,,,,
checkpoint,Pipe work installed and insulated as per plans to Main pipe run ,,,,,,,
checkpoint,Valves installed as per plans,,,,,,,
checkpoint,Drain pipe installed and tested as per ABC,,,,,,,
checkpoint,Plenums installed,,,,,,,
checkpoint,Ducting installed,,,,,,,
checkpoint,Grille boots installed,,,,,,,
checkpoint,"Electrical wires run to fan, heater and coms and wired up ",,,,,,,
section,FCU L2-BR1-2.20,,,,,,,
checkpoint,Indoor hung Level and with Seismic and anti vibration mounts ,,,,,,,
checkpoint,Pipe work installed and insulated as per plans to Main pipe run ,,,,,,,
checkpoint,Valves installed as per plans,,,,,,,
checkpoint,Drain pipe installed and tested as per ABC,,,,,,,
checkpoint,Plenums installed,,,,,,,
checkpoint,Ducting installed,,,,,,,
checkpoint,Grille boots installed,,,,,,,
checkpoint,"Electrical wires run to fan, heater and coms and wired up ",,,,,,,
section,FCU L2-CM3-2.23,,,,,,,
checkpoint,Indoor hung Level and with Seismic and anti vibration mounts ,,,,,,,
checkpoint,Pipe work installed and insulated as per plans to Main pipe run ,,,,,,,
checkpoint,Valves installed as per plans,,,,,,,
checkpoint,Drain pipe installed and tested as per ABC,,,,,,,
checkpoint,Plenums installed,,,,,,,
checkpoint,Ducting installed,,,,,,,
checkpoint,Grille boots installed,,,,,,,
checkpoint,"Electrical wires run to fan, heater and coms and wired up ",,,,,,,
section,Supply Air from riser North to 5x FCU,,,,,,,
checkpoint,Main ducting installed,,,,,,,
checkpoint,Main ducting seismic installed,,,,,,,
checkpoint,Balancing dampers installed,,,,,,,
section,Extract Air from riser North,,,,,,,
checkpoint,Main ducting installed into ceiling space,,,,,,,
section,Supply Air from riser South to 6x FCU,,,,,,,
checkpoint,Main ducting installed,,,,,,,
checkpoint,Main ducting seismic installed,,,,,,,
checkpoint,Balancing dampers installed,,,,,,,
section,Extract Air from riser South,,,,,,,
checkpoint,Main ducting installed into ceiling space,,,,,,,
checkpoint,Balacing dampers installed,,,,,,,
checkpoint,Flexible ducting installed,,,,,,,
checkpoint,Grille boos installed installed,,,,,,,
section,Extract ducting through riser to basment,,,,,,,
checkpoint,Main ducting installed,,,,,,,
section,Cross Talk attenuator 1,,,,,,,
checkpoint,CTU Installed,,,,,,,
section,Cross Talk attenuator 2,,,,,,,
checkpoint,CTU Installed,,,,,,,
section,Cross Talk attenuator 3,,,,,,,
checkpoint,CTU Installed,,,,,,,
section,Cross Talk attenuator 4,,,,,,,
checkpoint,CTU Installed,,,,,,,
section,Cross Talk attenuator 5,,,,,,,
checkpoint,CTU Installed,,,,,,,
section,Cross Talk attenuator 6,,,,,,,
checkpoint,CTU Installed,,,,,,,
section,Cross Talk attenuator 7,,,,,,,
checkpoint,CTU Installed,,,,,,,
section,Cross Talk attenuator 8,,,,,,,
checkpoint,CTU Installed,,,,,,,
section,Cross Talk attenuator 9,,,,,,,
checkpoint,CTU Installed,,,,,,,
section,ERH 1,,,,,,,
checkpoint,Electrical feed run ,,,,,,,
section,ERH 1,,,,,,,
checkpoint,Electrical feed run ,,,,,,,
section,ERH 1,,,,,,,
checkpoint,Electrical feed run ,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
checklist,HOBEC Fit Out L2 Second Fix,,,,,,,
section,FCU L2-KL-2.02,,,,,,,
checkpoint,Grilles Installed as per plans,,,,,,,
checkpoint,Access Panels in correct location,,,,,,,
checkpoint,Controllers installed as per plans,,,,,,,
section,FCU L20WS1-2.03,,,,,,,
checkpoint,Grilles Installed as per plans,,,,,,,
checkpoint,Access Panels in correct location,,,,,,,
checkpoint,Controllers installed as per plans,,,,,,,
section,FCU L2-R2.01,,,,,,,
checkpoint,Grilles Installed as per plans,,,,,,,
checkpoint,Access Panels in correct location,,,,,,,
checkpoint,Controllers installed as per plans,,,,,,,
section,FCU L2-M6-2.05,,,,,,,
checkpoint,Grilles Installed as per plans,,,,,,,
checkpoint,Access Panels in correct location,,,,,,,
checkpoint,Controllers installed as per plans,,,,,,,
section,FCU L2-M3-2.09,,,,,,,
checkpoint,Grilles Installed as per plans,,,,,,,
checkpoint,Access Panels in correct location,,,,,,,
checkpoint,Controllers installed as per plans,,,,,,,
section,FCU L2-M5-2.17,,,,,,,
checkpoint,Grilles Installed as per plans,,,,,,,
checkpoint,Access Panels in correct location,,,,,,,
checkpoint,Controllers installed as per plans,,,,,,,
