Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,
Testing & Commissioning - Main Switchboards (Pre-Energisation/Energised),,,,,,,,,,
,Scope,,,Testing & Commissioning,Main Switchboards,,,,,
,Rows,,,,,,,,,
,,Terminal - Main Switchboards,dynamic,Testing & Commissioning,Terminal,Main Switchboards,,,,
,,TERs - TER 1,dynamic,Testing & Commissioning,TERs,TER 1,Main Switchboards,,,
,,TERs - TER 2,dynamic,Testing & Commissioning,TERs,TER 2,Main Switchboards,,,
,,Fuel Farm - Main Switchboards,dynamic,Testing & Commissioning,Fuel Farm,Main Switchboards,,,,
,Columns,,,,,,,,,
,,Physical Checks,,physical checks,Main Switchboards,,,,,
,,Mechanical Checks,,mechanical checks,Main Switchboards,,,,,
,,Switch Gear Busbar - Preliminary Checks,,switch gear busbar - preliminary checks,Main Switchboards,,,,,
,,Switch Gear Busbar - Insulation Resistance (1000V),,switch gear busbar - insulation resistance (1000v),Main Switchboards,,,,,
,,Current Transformer Checks,,current transformer checks,Main Switchboards,,,,,
,,Phase Voltage Reading,,phase voltage reading,Main Switchboards,,,,,
,,Phase Rotation,,phase rotation,Main Switchboards,,,,,
,,,,,,,,,,
Quality - Busduct,,,,,,,,,,
,Scope,,,Site QA,,,,,,
,Rows,,,,,,,,,
,,Terminal - Switchboards - Main Switchboards - EL-MSBE-01-301 (T1) - B,dynamic,Site QA,Terminal,Switchboards,Main Switchboards,EL-MSBE-01-301 (T1),Busduct,B
,,Terminal - Switchboards - Main Switchboards - EL-MSBE-01-301 (T1) - C,dynamic,Site QA,Terminal,Switchboards,Main Switchboards,EL-MSBE-01-301 (T1),Busduct,C
,,Terminal - Switchboards - Main Switchboards - EL-MSBE-01-301 (T1) - E,dynamic,Site QA,Terminal,Switchboards,Main Switchboards,EL-MSBE-01-301 (T1),Busduct,E
,,Terminal - Switchboards - Main Switchboards - EL-MSBE-01-301 (T1) - F,dynamic,Site QA,Terminal,Switchboards,Main Switchboards,EL-MSBE-01-301 (T1),Busduct,F
,,Terminal - Switchboards - Main Switchboards - EL-MSBE-01-401 (T2) - N,dynamic,Site QA,Terminal,Switchboards,Main Switchboards,EL-MSBE-01-401 (T2),Busduct,N
,,Terminal - Switchboards - Main Switchboards - EL-MSBE-01-401 (T2) - M,dynamic,Site QA,Terminal,Switchboards,Main Switchboards,EL-MSBE-01-401 (T2),Busduct,M
,,Terminal - Switchboards - Main Switchboards - EL-MSBE-01-401 (T2) - Q,dynamic,Site QA,Terminal,Switchboards,Main Switchboards,EL-MSBE-01-401 (T2),Busduct,Q
,,Terminal - Switchboards - Main Switchboards - EL-MSBE-01-401 (T2) - R,dynamic,Site QA,Terminal,Switchboards,Main Switchboards,EL-MSBE-01-401 (T2),Busduct,R
,,Terminal - Switchboards - Main Switchboards - EL-MSBN-01-203 (T3) - D,dynamic,Site QA,Terminal,Switchboards,Main Switchboards,EL-MSBN-01-203 (T3),Busduct,D
,,Terminal - Switchboards - Main Switchboards - EL-MSBN-01-203 (T3) - H,dynamic,Site QA,Terminal,Switchboards,Main Switchboards,EL-MSBN-01-203 (T3),Busduct,H
,,Terminal - Switchboards - Main Switchboards - EL-MSBN-01-203 (T3) - L,dynamic,Site QA,Terminal,Switchboards,Main Switchboards,EL-MSBN-01-203 (T3),Busduct,L
,,Terminal - Switchboards - Main Switchboards - EL-MSBN-01-203 (T3) - P,dynamic,Site QA,Terminal,Switchboards,Main Switchboards,EL-MSBN-01-203 (T3),Busduct,P
,,Terminal - Switchboards - UPS MDBs - EL-UPSIO-01-301 (T) - A,dynamic,Site QA,Terminal,Switchboards,UPS MDBs,EL-UPSIO-01-301 (T),Busduct,A
,,Terminal - Switchboards - UPS MDBs - EL-UPSIO-01-301 (T) - G,dynamic,Site QA,Terminal,Switchboards,UPS MDBs,EL-UPSIO-01-301 (T),Busduct,G
,,Terminal - Switchboards - UPS MDBs - EL-UPSIO-01-301 (T) - K,dynamic,Site QA,Terminal,Switchboards,UPS MDBs,EL-UPSIO-01-301 (T),Busduct,K
,,Terminal - Switchboards - UPS MDBs - EL-UPSIO-01-301 (T) - S,dynamic,Site QA,Terminal,Switchboards,UPS MDBs,EL-UPSIO-01-301 (T),Busduct,S
,Columns,,,,,,,,,
,,Receipt of busduct/busway & take off box's delivery to site,,receipt of busduct/ busway & take off box's delivery to site,,,,,,
,,"Set out - Ensure correct size, type & spare capacity",,"set out - ensure correct size, type and spare capacity",,,,,,
,,Accessories to be factory made items,,accessories to be factory made items,,,,,,
,,Hangers installed as per drawings,,hangers installed as per the drawings,,,,,,
,,IR Test of Busduct - Separate - Test Result Above 1M Ω,,ir test of busduct - separate - test result above 1m ω,,,,,,
,,Busduct Piece installed safely,,busduct piece are installed safely,,,,,,
,,Busduct Torqued to 95Nm,,busduct torqued to 95nm,,,,,,
,,IR Test of Busduct - Joined - Test Result Above 1M Ω,,ir test of busduct - joined - test result above 1m ω,,,,,,
,,Photos attached of installed piece,,photos attached of installed piece,,,,,,
,,,,,,,,,,
