ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"First Fix - Apartments Progress"
,"Scope",,,"first fix"
,"Rows"
,,"West Wing - Level 1 - APT A001",,"first fix","west wing","level 1","apt a001"
,,"West Wing - Level 1 - APT A002",,"apt a002","first fix","west wing","level 1"
,,"West Wing - Level 1 - APT A003",,"apt a003","first fix","west wing","level 1"
,,"West Wing - Level 1 - APT A004",,"first fix","west wing","apt a004","level 1"
,,"West Wing - Level 1 - APT A005",,"apt a005","first fix","west wing","level 1"
,,"West Wing - Level 2 - APT A101",,"apt a101","first fix","west wing","level 2"
,,"West Wing - Level 2 - APT A102",,"apt a102","first fix","west wing","level 2"
,,"West Wing - Level 2 - APT A103",,"first fix","west wing","apt a103","level 2"
,,"West Wing - Level 2 - APT A104",,"apt a104","first fix","west wing","level 2"
,,"West Wing - Level 2 - APT A105",,"first fix","west wing","apt a105","level 2"
,,"West Wing - Level 2 - APT A106",,"first fix","west wing","apt a106","level 2"
,,"West Wing - Level 2 - APT A107",,"first fix","west wing","level 2","apt a107"
,,"West Wing - Level 2 - APT A108",,"first fix","west wing","level 2","apt a108"
,,"West Wing - Level 2 - APT A109",,"apt a109","first fix","west wing","level 2"
,,"West Wing - Level 2 - APT A110",,"first fix","west wing","level 2","apt a110"
,,"West Wing - Level 2 - APT A111",,"first fix","west wing","apt a111","level 2"
,,"West Wing - Level 2 - APT A112",,"apt a112","first fix","west wing","level 2"
,,"West Wing - Level 3 - APT A201",,"apt a201","first fix","west wing","level 3"
,,"West Wing - Level 3 - APT A202",,"first fix","west wing","apt a202","level 3"
,,"West Wing - Level 3 - APT A203",,"apt a203","first fix","west wing","level 3"
,,"West Wing - Level 3 - APT A204",,"first fix","west wing","apt a204","level 3"
,,"West Wing - Level 3 - APT A205",,"first fix","west wing","apt a205","level 3"
,,"West Wing - Level 3 - APT A206",,"first fix","west wing","level 3","apt a206"
,,"West Wing - Level 3 - APT A207",,"first fix","west wing","apt a207","level 3"
,,"West Wing - Level 3 - APT A208",,"apt a208","first fix","west wing","level 3"
,,"West Wing - Level 3 - APT A209",,"apt a209","first fix","west wing","level 3"
,,"West Wing - Level 4 - APT A301",,"level 4","first fix","west wing","apt a301"
,,"West Wing - Level 4 - APT A302",,"level 4","apt a302","first fix","west wing"
,,"West Wing - Level 4 - APT A303",,"level 4","first fix","west wing","apt a303"
,,"West Wing - Level 4 - APT A304",,"level 4","first fix","west wing","apt a304"
,,"North Wing - Level 3 - APT A210",,"north wing","first fix","apt a210","level 3"
,,"North Wing - Level 3 - APT A211",,"north wing","apt a211","first fix","level 3"
,,"North Wing - Level 4 - APT A305",,"north wing","level 4","first fix","apt a305"
,,"North Wing - Level 4 - APT A306",,"north wing","level 4","first fix","apt a306"
,,"North Wing - Level 4 - APT B307",,"north wing","level 4","first fix","apt b307"
,,"North Wing - Level 5 - APT C405",,"north wing","level 5","first fix","apt c405"
,,"North Wing - Level 5 - APT C406",,"north wing","level 5","first fix","apt c406"
,,"North Wing - Level 5 - APT C407",,"north wing","level 5","first fix","apt c407"
,,"North Wing - Level 5 - APT C408",,"north wing","level 5","apt c408","first fix"
,,"North Wing - Level 5 - APT C409",,"north wing","level 5","first fix","apt c409"
,,"North Wing - Level 5 - APT C410",,"north wing","level 5","first fix","apt c410"
,,"North Wing - Level 5 - APT C411",,"north wing","level 5","apt c411","first fix"
,,"North Wing - Level 5 - APT C412",,"north wing","level 5","first fix","apt c412"
,,"North Wing - Level 5 - APT A405",,"north wing","level 5","first fix","apt a405"
,,"North Wing - Level 5 - APT A406",,"north wing","level 5","apt a406","first fix"
,,"North Wing - Level 6 - APT C501",,"north wing","apt c501","level 6","first fix"
,,"North Wing - Level 6 - APT C502",,"north wing","apt c502","level 6","first fix"
,,"North Wing - Level 6 - APT C503",,"north wing","level 6","first fix","apt c503"
,,"North Wing - Level 6 - APT C504",,"north wing","level 6","first fix","apt c504"
,,"North Wing - Level 6 - APT C505",,"north wing","level 6","first fix","apt c505"
,,"South Wing - Level 2 - APT B101",,"first fix","apt b101","south wing","level 2"
,,"South Wing - Level 2 - APT B102",,"apt b102","first fix","south wing","level 2"
,,"South Wing - Level 2 - APT B103",,"first fix","apt b103","south wing","level 2"
,,"South Wing - Level 2 - APT B104",,"apt b104","first fix","south wing","level 2"
,,"South Wing - Level 2 - APT B105",,"apt b105","first fix","south wing","level 2"
