"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e5bdb63d-e501-4d67-841c-7bfa74ea4bd7","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"bca3ee7a-3508-47e0-8084-1b19a1073425","","folder-normal","fail","","step","TRUE","FALSE","Site QA","QA - First Fix Electrical"
"3f56520e-4bae-4e13-b197-74c4b5472da2","","folder-normal","fail","","step","TRUE","FALSE","Site QA","QA - First Fix Electrical","Common Areas"
"522cc48a-bc49-4d42-a365-6fcc4bb1830e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","QA - First Fix Electrical","Common Areas","Cable Trays"
"021078a7-b67c-4467-a073-5ebc4fd6f777","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","QA - First Fix Electrical","Common Areas","Cable Trays","Basement"
"d5b3cc91-0bff-4d69-81b7-b48c40b8bced","","checklist-flat","not-started","QA - Cable Trays Checklist","checklist-flat","FALSE","FALSE","Site QA","QA - First Fix Electrical","Common Areas","Cable Trays","Basement","Lower"
"d46be4d0-b409-4dc6-9542-c2c6ac82b96d","","checklist-flat","not-started","QA - Cable Trays Checklist","checklist-flat","FALSE","FALSE","Site QA","QA - First Fix Electrical","Common Areas","Cable Trays","Basement","Zone 1"
"acca136c-a040-49a4-b736-427eab42a34e","","checklist-flat","not-started","QA - Cable Trays Checklist","checklist-flat","FALSE","FALSE","Site QA","QA - First Fix Electrical","Common Areas","Cable Trays","Basement","Zone 2"
"ac51cfb9-2297-4780-9033-24aa60ff7363","","checklist-flat","not-started","QA - Cable Trays Checklist","checklist-flat","FALSE","FALSE","Site QA","QA - First Fix Electrical","Common Areas","Cable Trays","Basement","Zone 3"
"b2d99635-74cb-458f-8c48-08e82fd144a9","","checklist-flat","not-started","QA - Cable Trays Checklist","checklist-flat","FALSE","FALSE","Site QA","QA - First Fix Electrical","Common Areas","Cable Trays","Basement","Zone 4"
"18625aa0-9026-4ec5-8811-6c709eb49f4d","","checklist-flat","not-started","QA - Cable Trays Checklist","checklist-flat","FALSE","FALSE","Site QA","QA - First Fix Electrical","Common Areas","Cable Trays","Basement","Zone 5"
"d9a1c2ec-b24b-407a-a898-ffa07aea85fe","","checklist-flat","not-started","QA - Cable Trays Checklist","checklist-flat","FALSE","FALSE","Site QA","QA - First Fix Electrical","Common Areas","Cable Trays","Basement","Zone 6"
"e8770cef-4169-4c81-a35c-eaa26d211e1d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","QA - First Fix Electrical","Common Areas","Cable Trays","Ground"
"fea4bf3f-5fac-495f-8cd0-f529038540f1","","checklist-flat","not-started","QA - Cable Trays Checklist","checklist-flat","FALSE","FALSE","Site QA","QA - First Fix Electrical","Common Areas","Cable Trays","Ground","Zone 1"
"d30ebeef-20b7-4910-9002-4e79bf78323f","","checklist-flat","not-started","QA - Cable Trays Checklist","checklist-flat","FALSE","FALSE","Site QA","QA - First Fix Electrical","Common Areas","Cable Trays","Ground","Zone 2"
