"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4b4e0c67-d348-44d0-9890-709ba01da83a","","checklist-flat","fail","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","ground floor water easement slab"
"334b0892-b6d1-48a9-9106-9f282b77612a","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Mezz Level"
"bfa98dce-5cc5-4d2e-ae6b-2bb9e342ad37","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Mezz Level","Columns"
"0df706b5-f43a-4d2a-953d-070b44a0cf95","","checklist-flat","fail","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Mezz Level","Walls Mezz From RL 13.550 to RL 16.300 External"
"f423a7f0-eeb4-4a84-8221-e57e54db702a","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Mezz Level","Slab"
"a1c64e57-457c-48ed-86f8-2be948076ddf","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Mezz Level","Stairs"
"72db6ef7-fb5f-4b14-8342-3241a2322d57","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Mezz Level","Hoist"
"b926d7d1-e5ae-47c4-9661-a53b1af70629","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Level 1"
"cfb3c19e-31a3-450c-9606-969454e7e6e0","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Columns"
"2a4a3bd3-558b-4d39-834d-19ebebc28e4f","","checklist-flat","pass","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Walls"
"3e733337-4a57-4c69-b4f6-1d58721acb2c","","checklist-sectioned","work-in-progress","zSYS - Jump System / Climb Track Checklist (old version)","checklist","FALSE","FALSE","Site QA","Level 1","System"
"46dffa90-bb85-41c2-ac41-3e3208089321","","checklist-flat","work-in-progress","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Slab"
"aad0aecc-9623-4ca6-86b6-6887ff5ebc72","","checklist-sectioned","pass","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Stair 4 Flights RL 8640 to RL 11.920 28/06/2023"
"5bfb10eb-0204-4537-a60c-07a7e3dcfb5d","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 1","Hoist"
"e31761ca-6fab-457a-a9fb-854e491b358c","","checklist-flat","pass","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Columns Checklist 04/04/23"
"3f834c3b-f937-4a87-8a92-fd98b8bd6323","","checklist-flat","pass","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Walls Checklist CW6 pour A"
"a1f2b6d8-2f03-4811-8984-63b04be1ebbe","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","1500mm Deep Beam Level 1 Pour 1;  26/04/2023"
"674d4971-95fa-43db-a07a-022fa96cb859","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Pour 1 Level 1;  28/04/2023"
"06efd99e-0dd5-43ec-ad5f-c6b215d30de6","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Level 1 Pour 2 Lower Mezz RL 11.000 10/05/2023"
"251ffa07-a611-4992-84c9-34ff464801b4","","checklist-flat","fail","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Level 1 Pour 2 RL RL12.400 15/05/2023"
"918454fb-ea25-44e6-8344-61ab469a2915","","checklist-flat","not-started","Add Variation / Site Instruction","checklist-flat","FALSE","FALSE","Site QA","Level 1","test"
"af126e94-8e73-49e7-98c5-8a21b83465c6","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Mezz Level 1 RL 13.550  27/05/2023"
"0e347d3f-57d0-41cd-b936-6c0de204e515","","checklist-flat","not-started","Add Deck Handover","checklist-flat","FALSE","FALSE","Site QA","Level 1","Deck Handover"
"db35b1f6-cfa2-47a3-9dba-5d73d1c94bb2","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Level 1 Pour 3 03/06/2023"
"033a686d-0cc4-4b3c-8a42-a7a8cb1b8bad","","checklist-flat","pass","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Columns Checklist Level 1 to Level 2 Pour 3 along grids 105 08/06/2023"
"7040976f-6e77-4548-872c-03272dc02296","","checklist-sectioned","fail","Stairs (in-situ) Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Stairs (in-situ) Checklist Stair 1 Level 1.5 to Level 2 08/06/2023"
"2a6bf6ce-8790-48bf-8be6-af2695bb1f43","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Suspended Slab Checklist Pour 4 Level 1, 14/06/2023"
"5f835700-e5c9-4e8d-8af8-80e8540967d8","","checklist-flat","work-in-progress","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Columns Checklist Level 1 to Level 2 Pour 3  09/06/2023"
"36255e66-a774-414f-b6d5-2063bb7ca005","","checklist-flat","pass","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Mezz walls RL 13.550 to RL 16.300 17/06/2023"
"280b10a0-c150-4a29-9c79-7daa52192c06","","checklist-flat","not-started","Add Deck Handover","checklist-flat","FALSE","FALSE","Site QA","Level 1","Deck Handover"
"503429ac-5dc9-42b2-a58b-133383618642","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Level 2"
"6d2ed30f-f9d2-4514-97b9-921dca79cb9a","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Columns"
"c147f07e-5ef6-437d-83d0-aa76e1d61e98","","checklist-flat","pass","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Stair 4 Walls RL 13.000 to Under side of Level 2 21/06/2023"
"fb16b3f5-c4fb-422f-b355-a4a5d5ec013b","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Level 2 Pour 1 16/06/2023 Pre pour check list"
"ed1c709a-584b-4223-90ab-199c21f5a064","","checklist-sectioned","pass","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 2","Stair 4 Ground level 22/06/2023 Pre pour Check list"
"a0322e89-9e8a-40c0-8ac8-84d6082599df","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 2","Hoist"
"44a66a42-8529-43b4-8057-28aa25c9fa62","","checklist-flat","fail","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Stair 1 Level 2 to Level 3 23/06/2023"
"2e0b48d5-c086-424f-8540-0b259feaa6f9","","checklist-flat","fail","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Pour 5 Level 2 Part A & B Wednesday 28/06/2023"
"a4495769-aa0b-4f62-93f4-ff3b619cee28","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Level 2 Pour 2; 30/06/2023"
"a81c28fa-fb4b-4fe9-a1fb-d7e08602d130","","checklist-flat","work-in-progress","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Level 2 pour 5"
"7e9fe51b-e5ce-43c6-bde0-d0c0c70a0c7d","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","L2P3"
"ed5658e0-54b7-4440-9cb7-e0051183b11c","","checklist-sectioned","work-in-progress","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 2","Stair 1 level 2 to 3"
"f8a30f8b-01e3-4c48-9b7f-39f333a0f644","","checklist-flat","work-in-progress","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","L2P4"
"045c202c-bbe4-4578-9696-385ce015dc39","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Level 3"
"7180af2f-6498-4cbb-953a-af83249e2897","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 3","Columns"
"27d47b6e-6119-4af2-94c2-6a2e82f8cf54","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 3","Walls"
"f8e1c966-c6c9-4fe6-afe5-1bcb14d6ab66","","checklist-flat","work-in-progress","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 3","Slab"
"f52fbf4d-64fa-4ef5-b96c-101fb5ed4513","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 3","Stairs"
"d436df70-586c-4600-9a2c-5a5bbebdfc12","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 3","Hoist"
"96492469-507e-4f14-ab49-c721188dcb53","","checklist-flat","fail","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 3","Suspended Slab Checklist Pour 2 Level 3, 11/08/2023"
"806d1a8b-55d6-4064-94fe-82bce81b80cd","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Level 4"
"e76bcf18-b9ec-4052-9b64-5cb936b3646e","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 4","Columns"
"271e80eb-e3ae-42c3-903e-7597519872b8","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 4","Walls"
"d7c146c9-355f-40fa-a607-048d6ba2635b","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 4","Level 4 Pour 1 17/08/2023"
"510b828c-cff2-4aea-b302-0e4deba1faa7","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 4","Stairs"
"85ca1fe5-5153-4c28-9727-ad976b50872f","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 4","Hoist"
"252fde3e-4a86-4b8f-b829-4692473542d4","","checklist-flat","fail","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 4","Level 4 Pour 2,  24/08/2023"
"a8997c57-7ca1-4987-860f-fafd9479d115","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 5"
"f7dba21e-078a-4760-81ba-e228b1129e07","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5","Columns"
"391b1c9d-ee31-41f4-b9af-5852b5d31be9","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5","Walls"
"f2b80d61-5714-45e1-984c-fbf48282caad","","checklist-flat","work-in-progress","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5","Level 5 Pour 1;  31/08/2023"
