"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ffef49af-3331-4935-81ed-276e1cf57649","","folder-normal","not-started","","step","TRUE","FALSE","Ground"
"031bf0fc-161b-47f2-9ea1-bfcfaf2500d4","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Ground","ED0.02"
"1c9ededd-5d6c-476e-b247-2cd109769173","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Ground","CT0.04"
"64c8d4b4-6622-4932-9735-3bf31598c168","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Ground","CT0.05"
"f7506d93-ed67-439f-8632-04a1bd9f220c","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Ground","ED0.06"
"08b7a0a1-0190-4f34-af5d-7ab12a58cc8d","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Ground","W0.07"
"1c322f21-6220-4e61-a867-f3a4b120a82f","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Ground","ED0.07"
"50865c98-763c-4a4a-956d-7ce1b3221a9f","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Ground","CT0.01"
"e23a1789-29b3-41e3-ba31-83a4a93d4735","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Ground","W0.04"
"4a960f58-e09c-4daf-967c-b508b5658d05","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Ground","W0.05"
"d4155c86-254b-41ad-b25f-71376ac97cfc","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Ground","CT0.02B"
"20aa0475-4cd9-4a20-b40c-47909229ee03","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Ground","W0.01"
"69ae02e5-8890-4d27-b73f-750e67e6d837","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Ground","W0.02"
"9e307c94-a610-429a-950f-1b859e0ecc29","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Ground","W0.03"
"ae704968-4511-481f-930b-cea94bd9f665","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Ground","CT0.02A"
"58d44957-1055-4879-9ceb-d7d1c4acc6f8","","folder-normal","not-started","","step","TRUE","FALSE","Ground Internal"
"3fa0e31c-e338-42e1-b293-9e2d772c35ca","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground Internal","IWT06"
"9e05b241-35d7-44d2-acd8-8215cdf2c306","","folder-normal","not-started","","step","TRUE","FALSE","Level 1"
"d7448e76-44c0-45a1-84ed-5ab432304d99","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Level 1","CT1.03"
"9e7d0e27-a888-476a-ac7a-476dbf399007","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Level 1","CT1.04"
"45cd3e4d-5ef4-4828-bebc-b508eead5b5e","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1.03"
"97908fb0-4663-4a06-a8b2-048c26f9dae6","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","ED1.01"
"e5c3212f-0ca8-4b64-8d71-be8d8b758348","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Level 1","W1.04"
"07790fa4-86b6-4a65-a303-1dc91d7c3a9f","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Level 1","W1.05"
"162bda7e-0247-44aa-86c7-8e264a965259","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Level 1","W1.06"
"d608d43c-8fc8-4133-a160-4cf7eff4bb6b","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Level 1","CT1.05"
"58b8153d-8f28-4c10-8b27-4abd1c63c7b0","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Level 1","W1.07"
"cd7949e1-5400-4535-8f5c-c255c0384744","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Level 1","W1.01"
"e3f1388f-307e-4fa3-aea1-61f6b420f48d","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Level 1","W1.02"
"ca5821ed-289a-4d97-a40c-d5a30ac6c1f0","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Level 1","CT1.01"
"285c18c4-b089-4b45-bda5-3282a2d56e98","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Level 1","CT1.02"
"06071f16-436f-477e-a01d-b002da648b0d","","folder-normal","not-started","","step","TRUE","FALSE","Level 2"
"81f0c609-daf2-4971-a889-5b1a17b7900b","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 2","W2.01"
"ea9fe5e1-0c5c-43f3-b9ef-d9c0ebb99f1a","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 2","ED2.02"
