"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c98cd56e-fa8c-4e19-9090-c4f4a06a568c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"909c5ebb-f18f-427e-84e2-e9a18ac26c47","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Block A"
"84bd5ef7-9c9a-4d4f-b9b2-c1706a694217","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 1"
"ac8a199b-998d-43c5-9a6a-f689862ec309","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 2"
"38c93fef-2807-4720-9ff1-a96bb66a55c6","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 3"
"747c9eaa-363c-4a9b-bdc4-889cdcc7bbc8","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 4"
"25030cb9-768a-48ba-bd17-21db361bd7fb","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 5"
"4995023d-9949-4ca5-aaaa-8b6f31efe16c","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 6"
"32b917a9-2232-48b1-baca-e5ec83a8d815","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 7"
"3dcc59c8-c86a-4c7b-9b01-9104aa4c7b1e","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 8"
"f597dcf9-931c-40e7-9584-721757feadd4","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 9"
"a04726c6-b692-49ae-be73-075ef865c0a0","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 10"
"d6e7d28a-784e-4573-931d-6a7f4cce1e1a","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 11"
"225e2d6e-a7c9-4c30-ad05-f5d902fa44cb","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 12"
"37390cfe-204c-4da0-bd5a-c7d68e493836","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 13"
"104fd25e-f4d1-4154-b428-ae46ba37a0e8","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 14"
"b0420747-29d4-4135-ac70-abe10ee1657b","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 15"
"f9654410-4f2a-4689-8f2a-caa7a5d85213","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 16"
"a891d790-e748-46e6-8165-86076dd225ad","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 17"
"eb15bf6f-87e8-4fe6-b7b6-4e041666908e","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 18"
"8d36acd3-d123-43d4-a15a-d74ceec0340a","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 19"
"21f52bce-acac-4d36-8a6d-970eef08f6ec","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 20"
"bdbbbf54-c3bd-492b-ad61-4e99d6b3b069","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 21"
"91fb494f-4ce9-4c55-9161-1fef6573da5d","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 22"
"337e8cc4-8f27-46b7-9f80-05ba1676a046","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 23"
"dfdb6a53-4a3e-4f71-920f-32b33a5f1655","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 24"
"12735e44-92e4-4241-ab43-8760edf13649","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block A","House 25"
"9d56188c-2e4a-4665-bde4-e91997ec93da","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Building B"
"a92cc938-b528-4e7d-83ce-2f21f6bf475a","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 26"
"02b87b25-63e6-4875-a38f-e623dd6c5f12","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 27"
"eddd4f1f-f8c4-4d31-a112-e88d71912d57","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 28"
"1f31d051-d8cf-46af-bd5e-918517ccc5a9","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 29"
"d0d06f26-9d60-4d95-90a2-c20df3a6d30d","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 30"
"f201f5ce-7a72-4f1a-85ef-00164ce3dd60","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 31"
"2f898489-4522-4890-bef5-af9a8869a4c4","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 32"
"aa794b11-923c-477b-8113-fc8961be3a1e","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 33"
"72dbd1d5-d341-4738-a21e-b0edc2f4f748","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 34"
"3a1eb666-20d3-4945-9c9e-5c792c89f4cf","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 35"
"ab830f40-2062-47a9-92bd-9adc18e30ef1","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 36"
"ba5cd0ff-ed0c-4ec9-995a-844293f2aa7f","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 37"
"0d6da1b4-1532-413b-89ff-1b0fb5185606","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 38"
"5844a8bb-985a-4fe8-9a0b-a217446a4480","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 39"
