"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"75f62f51-bd69-4064-83d6-2e997532ee1d","","checklist-sectioned","fail","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 3 (FSW-ITR-103)","Sprinkler Control Valve"
"b1f2541b-f7ce-42ff-98ee-c65c6123f218","","checklist-sectioned","work-in-progress","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 3 (FSW-ITR-103)","Sprinkler & Hydrant Hydrostatic Test"
"79f5f890-1b66-4c38-8a43-686f71c6a6d8","","checklist-sectioned","fail","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 3 (FSW-ITR-103)","Hydrant Installation"
"e48aabd4-41f6-4d55-966a-df602bdb8494","","folder-normal","fail","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 4 (FSW-ITR-104)"
"73b3f500-cc4a-4184-97ad-a073468d2297","","checklist-sectioned","fail","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 4 (FSW-ITR-104)","Sprinkler Installation/Fitoff"
"7fe3e3cd-96f0-4ca7-a074-c9b8152cbbde","","checklist-sectioned","fail","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 4 (FSW-ITR-104)","Sprinkler Control Valve"
"bc424dd6-a88b-43c6-a522-583775ee835a","","checklist-sectioned","work-in-progress","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 4 (FSW-ITR-104)","Sprinkler & Hydrant Hydrostatic Test"
"090267de-6099-46b1-aef6-bfa36a57c6ef","","checklist-sectioned","fail","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 4 (FSW-ITR-104)","Hydrant Installation"
"3922aa2e-0c17-4dee-b9aa-074b3b9f91cd","","folder-normal","fail","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 5 (FSW-ITR-105)"
"abe08395-087b-4702-ba7d-660768b9372d","","checklist-sectioned","fail","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 5 (FSW-ITR-105)","Sprinkler Installation/Fitoff"
"4c743048-b3c4-4603-adcc-57b7b2768d4c","","checklist-sectioned","fail","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 5 (FSW-ITR-105)","Sprinkler Control Valve"
"ba618d73-c935-4d18-afaa-2fcf678006a2","","checklist-sectioned","work-in-progress","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 5 (FSW-ITR-105)","Sprinkler & Hydrant Hydrostatic Test"
"d8d8e036-2948-49fd-8edf-d895b2ff1c60","","checklist-sectioned","fail","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 5 (FSW-ITR-105)","Hydrant Installation"
"3f54dcf5-79e4-4f5d-be15-9010232b468c","","folder-normal","fail","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 6 (FSW-ITR-106)"
"eb13cdfb-21d7-4ee8-92d9-6fd10d2b690f","","checklist-sectioned","work-in-progress","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 6 (FSW-ITR-106)","Sprinkler Installation/Fitoff"
"ec7ec93e-a17e-4397-87d5-60de425922c6","","checklist-sectioned","fail","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 6 (FSW-ITR-106)","Sprinkler Control Valve"
"0bf8fe1c-c504-422d-83f6-1ae4cb95ec1d","","checklist-sectioned","work-in-progress","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 6 (FSW-ITR-106)","Sprinkler & Hydrant Hydrostatic Test"
"7bbf18e3-6485-494a-bd42-38d4813d9b5e","","checklist-sectioned","fail","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 6 (FSW-ITR-106)","Hydrant Installation"
"90236226-cf8f-4b42-a809-212b59aee10a","","folder-normal","fail","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 7 (FSW-ITR-107)"
"67b04d55-2b25-461c-9a2a-79c1d38e6e99","","checklist-sectioned","work-in-progress","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 7 (FSW-ITR-107)","Sprinkler Installation/Fitoff"
"a26ddf5d-75fa-4b33-8348-743d87d1acf8","","checklist-sectioned","fail","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 7 (FSW-ITR-107)","Sprinkler Control Valve"
"8bdafe6e-7b73-4625-81d6-8ef6d9ab4a6a","","checklist-sectioned","work-in-progress","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 7 (FSW-ITR-107)","Sprinkler & Hydrant Hydrostatic Test"
"a57c7ec8-1381-4781-bc78-d652adf1d7dc","","checklist-sectioned","fail","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 7 (FSW-ITR-107)","Hydrant Installation"
"7436c397-d502-4c7b-b396-9d0c57bf8672","","checklist-sectioned","work-in-progress","LM-FOR-40-ITR-302.3 Hose Reel Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 7 (FSW-ITR-107)","Hose Reel Installation"
"582a8daf-9810-40c7-8bc1-c68f9256fba1","","folder-normal","fail","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 8 (FSW-ITR-108)"
"282aee53-63d7-44ca-9e64-12430e53f03e","","checklist-sectioned","work-in-progress","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 8 (FSW-ITR-108)","Sprinkler Installation/Fitoff"
"41032966-4beb-456c-8ce2-730eed9d20f9","","checklist-sectioned","fail","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 8 (FSW-ITR-108)","Sprinkler Control Valve"
"a1fb5f65-a0ce-49bb-821d-33c4151bade9","","checklist-sectioned","work-in-progress","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 8 (FSW-ITR-108)","Sprinkler & Hydrant Hydrostatic Test"
"b7f205a9-a64a-4f17-bb1f-bc16081fcc03","","checklist-sectioned","fail","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 8 (FSW-ITR-108)","Hydrant Installation"
"644eef84-d070-4fa1-b65f-91ca627074f6","","folder-normal","fail","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 9 (FSW-ITR-109)"
